platform,algorithm,count,mean,std,var,median,p95,t_min,t_max
tls_results_celeron,MLKEM768,100,0.09630000000000001,0.005056249258655728,2.55656565656566e-05,0.1,0.1,0.09,0.11
tls_results_celeron,X25519MLKEM768,100,0.0966,0.004968588198559895,2.4686868686868665e-05,0.1,0.1,0.09,0.11
tls_results_celeron,MLKEM512,100,0.09700000000000002,0.0054122942725732615,2.929292929292933e-05,0.1,0.1,0.09,0.11
tls_results_celeron,MLKEM1024,100,0.0971,0.004983812179284434,2.483838383838386e-05,0.1,0.1,0.09,0.11
tls_results_celeron,SecP256r1MLKEM768,100,0.0974,0.005434643827828427,2.9535353535353615e-05,0.1,0.10049999999999998,0.09,0.11
tls_results_celeron,ffdhe2048,100,0.09790000000000001,0.005373898759633261,2.8878787878787897e-05,0.1,0.11,0.09,0.11
tls_results_celeron,secp521r1,100,0.09880000000000001,0.003265986323710907,1.0666666666666684e-05,0.1,0.1,0.09,0.1
tls_results_celeron,x25519,100,0.099,0.003015113445777642,9.090909090909125e-06,0.1,0.1,0.09,0.1
tls_results_celeron,brainpoolP256r1tls13,100,0.0993,0.0051747248987533455,2.6777777777777826e-05,0.1,0.11,0.09,0.11
tls_results_celeron,x448,100,0.0993,0.005551412596644376,3.081818181818185e-05,0.1,0.1,0.09,0.14
tls_results_celeron,secp384r1,100,0.09940000000000002,0.002777979790634145,7.717171717171726e-06,0.1,0.1,0.09,0.11
tls_results_celeron,secp256r1,100,0.09960000000000001,0.001969463855669325,3.878787878787884e-06,0.1,0.1,0.09,0.1
tls_results_celeron,SecP384r1MLKEM1024,100,0.1,0.004494665749754948,2.0202020202020213e-05,0.1,0.11,0.09,0.11
tls_results_celeron,x25519_mlkem512,100,0.1029,0.004560480215720681,2.079797979797975e-05,0.1,0.11,0.1,0.11
tls_results_celeron,brainpoolP384r1tls13,100,0.1042,0.005352239217978267,2.864646464646461e-05,0.1,0.11,0.1,0.12
tls_results_celeron,x448_mlkem768,100,0.10460000000000001,0.005581354239923778,3.1151515151515135e-05,0.1,0.11,0.1,0.12
tls_results_celeron,ffdhe3072,100,0.1065,0.005924610544247622,3.5101010101010104e-05,0.11,0.12,0.1,0.12
tls_results_celeron,brainpoolP512r1tls13,100,0.1128,0.004731156136066358,2.2383838383838348e-05,0.11,0.12,0.1,0.12
tls_results_celeron,frodo640shake,100,0.1174,0.005434643827828419,2.9535353535353534e-05,0.12,0.12049999999999997,0.11,0.13
tls_results_celeron,ffdhe4096,100,0.1176,0.005340903718028674,2.8525252525252515e-05,0.12,0.12049999999999997,0.11,0.13
tls_results_celeron,bikel3,100,0.1216,0.005069217858503393,2.5696969696969727e-05,0.12,0.13,0.11,0.13
tls_results_celeron,x25519_frodo640shake,100,0.1216,0.005983141298513668,3.5797979797979813e-05,0.12,0.13,0.11,0.13
tls_results_celeron,x448_bikel3,100,0.1293,0.002564323999762431,6.575757575757592e-06,0.13,0.13,0.12,0.13
tls_results_celeron,p256_mlkem512,100,0.13570000000000002,0.005366374921488422,2.8797979797979867e-05,0.14,0.14,0.13,0.15
tls_results_celeron,p384_mlkem768,100,0.1374,0.0057944592134001275,3.357575757575763e-05,0.14,0.15,0.13,0.15
tls_results_celeron,p521_mlkem1024,100,0.1375,0.005388914922357197,2.904040404040408e-05,0.14,0.14049999999999999,0.13,0.15
tls_results_celeron,ffdhe6144,100,0.1452,0.0054085603678358934,2.9252525252525133e-05,0.14500000000000002,0.15,0.14,0.16
tls_results_celeron,frodo976shake,100,0.1475,0.006571287406727706,4.318181818181814e-05,0.15,0.16,0.14,0.16
tls_results_celeron,bp256_mlkem512,100,0.149,0.005412294272573259,2.9292929292929304e-05,0.15,0.15,0.13,0.16
