algo,repeat,op,ops_per_sec,bytes,notes
rsa3072,1,sign,161.2,NA,openssl_speed
rsa3072,1,verify,7921.1,NA,openssl_speed
rsa3072,1,encrypt,7365.3,NA,openssl_speed
rsa3072,1,decrypt,160.4,NA,openssl_speed
rsa3072,2,sign,160.8,NA,openssl_speed
rsa3072,2,verify,7896.0,NA,openssl_speed
rsa3072,2,encrypt,7418.3,NA,openssl_speed
rsa3072,2,decrypt,162.1,NA,openssl_speed
rsa3072,3,sign,162.2,NA,openssl_speed
rsa3072,3,verify,7906.0,NA,openssl_speed
rsa3072,3,encrypt,7469.0,NA,openssl_speed
rsa3072,3,decrypt,160.6,NA,openssl_speed
rsa3072,4,sign,161.3,NA,openssl_speed
rsa3072,4,verify,7912.8,NA,openssl_speed
rsa3072,4,encrypt,7406.0,NA,openssl_speed
rsa3072,4,decrypt,160.5,NA,openssl_speed
rsa3072,5,sign,162.0,NA,openssl_speed
rsa3072,5,verify,7961.1,NA,openssl_speed
rsa3072,5,encrypt,7403.6,NA,openssl_speed
rsa3072,5,decrypt,160.3,NA,openssl_speed
