algo,repeat,op,ops_per_sec,bytes,notes
rsa4096,1,sign,16.2,NA,openssl_speed
rsa4096,1,verify,1084.4,NA,openssl_speed
rsa4096,1,encrypt,1047.3,NA,openssl_speed
rsa4096,1,decrypt,16.4,NA,openssl_speed
rsa4096,2,sign,16.2,NA,openssl_speed
rsa4096,2,verify,1085.8,NA,openssl_speed
rsa4096,2,encrypt,1043.4,NA,openssl_speed
rsa4096,2,decrypt,16.3,NA,openssl_speed
rsa4096,3,sign,16.3,NA,openssl_speed
rsa4096,3,verify,1100.0,NA,openssl_speed
rsa4096,3,encrypt,1047.9,NA,openssl_speed
rsa4096,3,decrypt,16.2,NA,openssl_speed
rsa4096,4,sign,16.2,NA,openssl_speed
rsa4096,4,verify,1092.6,NA,openssl_speed
rsa4096,4,encrypt,1039.0,NA,openssl_speed
rsa4096,4,decrypt,16.2,NA,openssl_speed
rsa4096,5,sign,16.2,NA,openssl_speed
rsa4096,5,verify,1081.6,NA,openssl_speed
rsa4096,5,encrypt,1040.7,NA,openssl_speed
rsa4096,5,decrypt,16.1,NA,openssl_speed
