algo,repeat,op,ops_per_sec,bytes,notes
rsa4096,1,sign,327.8,NA,openssl_speed
rsa4096,1,verify,21505.0,NA,openssl_speed
rsa4096,1,encrypt,20961.4,NA,openssl_speed
rsa4096,1,decrypt,327.2,NA,openssl_speed
rsa4096,2,sign,327.6,NA,openssl_speed
rsa4096,2,verify,21503.6,NA,openssl_speed
rsa4096,2,encrypt,21037.6,NA,openssl_speed
rsa4096,2,decrypt,327.0,NA,openssl_speed
rsa4096,3,sign,327.6,NA,openssl_speed
rsa4096,3,verify,21512.6,NA,openssl_speed
rsa4096,3,encrypt,20903.6,NA,openssl_speed
rsa4096,3,decrypt,327.0,NA,openssl_speed
rsa4096,4,sign,327.8,NA,openssl_speed
rsa4096,4,verify,21498.4,NA,openssl_speed
rsa4096,4,encrypt,21024.9,NA,openssl_speed
rsa4096,4,decrypt,327.0,NA,openssl_speed
rsa4096,5,sign,327.8,NA,openssl_speed
rsa4096,5,verify,21492.4,NA,openssl_speed
rsa4096,5,encrypt,21002.6,NA,openssl_speed
rsa4096,5,decrypt,326.3,NA,openssl_speed
