algo,repeat,op,ops_per_sec,bytes,notes
ML-KEM-1024,1,encaps,7205.200,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,1,decaps,6073.300,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,2,encaps,7188.400,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,2,decaps,6075.100,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,3,encaps,7028.300,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,3,decaps,5944.900,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,4,encaps,7226.700,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,4,decaps,6094.100,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,5,encaps,7237.900,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,5,decaps,6095.500,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,6,encaps,7039.300,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,6,decaps,5957.500,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,7,encaps,7233.100,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,7,decaps,6096.100,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,8,encaps,7221.900,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,8,decaps,6044.100,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,9,encaps,7205.800,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,9,decaps,6086.700,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,10,encaps,7215.600,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,10,decaps,6073.500,pk=1568|sk=32|ct=32,speed_table
