algo,repeat,op,ops_per_sec,bytes,notes
ML-DSA-87,1,sign,490.502,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,1,verify,1613.600,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,2,sign,490.051,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,2,verify,1617.000,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,3,sign,484.703,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,3,verify,1606.300,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,4,sign,491.351,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,4,verify,1610.400,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,5,sign,492.500,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,5,verify,1611.000,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,6,sign,493.151,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,6,verify,1610.000,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,7,sign,490.600,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,7,verify,1609.200,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,8,sign,485.903,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,8,verify,1615.700,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,9,sign,486.800,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,9,verify,1609.500,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,10,sign,491.700,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,10,verify,1605.800,pk=4627|sk=4627|sig=4627,speed_table
