algo,op,mean_ops,std_ops,mean_ms,std_ms,reps,pk,sk,ct,ss,sig
ML-KEM-512,keypair,,,,,,,,,,
ML-KEM-512,keygen,,,,,,,,,,
ML-KEM-512,encaps,15407.920000000002,276.0802009078766,0.06492132560503791,0.0012178198337465937,10.0,800.0,32.0,32.0,,
ML-KEM-512,decaps,12431.32,180.40102734371118,0.08045780803659867,0.0012118602792560162,10.0,800.0,32.0,32.0,,
ML-KEM-512,sign,,,,,,,,,,
ML-KEM-512,verify,,,,,,,,,,
ML-KEM-768,keypair,,,,,,,,,,
ML-KEM-768,keygen,,,,,,,,,,
ML-KEM-768,encaps,10370.310000000001,26.67422601188908,0.09642970712455975,0.00024810116756723247,10.0,1184.0,32.0,32.0,,
ML-KEM-768,decaps,8555.3,13.420962045330992,0.11688686717334744,0.00018335610465209108,10.0,1184.0,32.0,32.0,,
ML-KEM-768,sign,,,,,,,,,,
ML-KEM-768,verify,,,,,,,,,,
ML-KEM-1024,keypair,,,,,,,,,,
ML-KEM-1024,keygen,,,,,,,,,,
ML-KEM-1024,encaps,7180.219999999999,78.56774571455301,0.13928672659463737,0.0015463110775934613,10.0,1568.0,32.0,32.0,,
ML-KEM-1024,decaps,6054.08,56.45343804115643,0.16519093703438076,0.0015578044928650915,10.0,1568.0,32.0,32.0,,
ML-KEM-1024,sign,,,,,,,,,,
ML-KEM-1024,verify,,,,,,,,,,
ML-DSA-44,keypair,,,,,,,,,,
ML-DSA-44,keygen,,,,,,,,,,
ML-DSA-44,encaps,,,,,,,,,,
ML-DSA-44,decaps,,,,,,,,,,
ML-DSA-44,sign,970.9415000000001,8.954620473997412,1.030007491392526,0.009556958782141205,10.0,2420.0,2420.0,,,2420.0
ML-DSA-44,verify,4270.55,8.820084403728229,0.23416277787785225,0.0004851399446522697,10.0,2420.0,2420.0,,,2420.0
ML-DSA-65,keypair,,,,,,,,,,
ML-DSA-65,keygen,,,,,,,,,,
ML-DSA-65,encaps,,,,,,,,,,
ML-DSA-65,decaps,,,,,,,,,,
ML-DSA-65,sign,603.1075,3.50485892092045,1.6581297394471117,0.009663496683927542,10.0,3309.0,3309.0,,,3309.0
ML-DSA-65,verify,2680.12,9.163187218430174,0.3731215425530842,0.001274261148102936,10.0,3309.0,3309.0,,,3309.0
ML-DSA-87,keypair,,,,,,,,,,
ML-DSA-87,keygen,,,,,,,,,,
ML-DSA-87,encaps,,,,,,,,,,
ML-DSA-87,decaps,,,,,,,,,,
ML-DSA-87,sign,489.72610000000003,2.9029106638376287,2.042022547427238,0.012148173338212583,10.0,4627.0,4627.0,,,4627.0
ML-DSA-87,verify,1610.85,3.6606769258643768,0.6207931493649894,0.0014097774758000644,10.0,4627.0,4627.0,,,4627.0
