algo,repeat,op,ops_per_sec,bytes,notes
ML-KEM-768,1,encaps,6918.800,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,1,decaps,6340.100,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,2,encaps,6948.600,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,2,decaps,6349.700,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,3,encaps,6926.400,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,3,decaps,6354.000,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,4,encaps,6942.400,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,4,decaps,6353.900,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,5,encaps,6925.900,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,5,decaps,6345.000,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,6,encaps,6914.100,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,6,decaps,6316.600,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,7,encaps,6943.000,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,7,decaps,6359.900,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,8,encaps,6932.200,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,8,decaps,6344.400,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,9,encaps,6941.000,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,9,decaps,6358.400,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,10,encaps,6932.100,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,10,decaps,6316.100,pk=1184|sk=32|ct=32,speed_table
