algo,repeat,op,ops_per_sec,bytes,notes
ML-DSA-44,1,sign,311.176,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,1,verify,1466.400,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,2,sign,306.016,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,2,verify,1465.953,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,3,sign,306.469,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,3,verify,1465.453,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,4,sign,307.677,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,4,verify,1464.800,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,5,sign,302.179,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,5,verify,1465.853,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,6,sign,308.369,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,6,verify,1464.854,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,7,sign,303.970,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,7,verify,1464.600,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,8,sign,307.146,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,8,verify,1465.553,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,9,sign,305.600,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,9,verify,1465.400,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,10,sign,303.639,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,10,verify,1465.600,pk=2420|sk=2420|sig=2420,speed_table
