Iteration, Algorithm, Time(s)
1,MLKEM1024,0.10
2,MLKEM1024,0.09
3,MLKEM1024,0.10
4,MLKEM1024,0.10
5,MLKEM1024,0.10
6,MLKEM1024,0.10
7,MLKEM1024,0.10
8,MLKEM1024,0.10
9,MLKEM1024,0.10
10,MLKEM1024,0.10
11,MLKEM1024,0.09
12,MLKEM1024,0.09
13,MLKEM1024,0.09
14,MLKEM1024,0.09
15,MLKEM1024,0.09
16,MLKEM1024,0.10
17,MLKEM1024,0.09
18,MLKEM1024,0.09
19,MLKEM1024,0.10
20,MLKEM1024,0.11
21,MLKEM1024,0.09
22,MLKEM1024,0.10
23,MLKEM1024,0.10
24,MLKEM1024,0.10
25,MLKEM1024,0.10
26,MLKEM1024,0.10
27,MLKEM1024,0.10
28,MLKEM1024,0.10
29,MLKEM1024,0.10
30,MLKEM1024,0.10
31,MLKEM1024,0.09
32,MLKEM1024,0.09
33,MLKEM1024,0.09
34,MLKEM1024,0.09
35,MLKEM1024,0.09
36,MLKEM1024,0.10
37,MLKEM1024,0.11
38,MLKEM1024,0.10
39,MLKEM1024,0.10
40,MLKEM1024,0.10
41,MLKEM1024,0.10
42,MLKEM1024,0.10
43,MLKEM1024,0.10
44,MLKEM1024,0.10
45,MLKEM1024,0.10
46,MLKEM1024,0.09
47,MLKEM1024,0.09
48,MLKEM1024,0.10
49,MLKEM1024,0.10
50,MLKEM1024,0.10
51,MLKEM1024,0.10
52,MLKEM1024,0.10
53,MLKEM1024,0.09
54,MLKEM1024,0.10
55,MLKEM1024,0.09
56,MLKEM1024,0.09
57,MLKEM1024,0.09
58,MLKEM1024,0.10
59,MLKEM1024,0.10
60,MLKEM1024,0.10
61,MLKEM1024,0.10
62,MLKEM1024,0.10
63,MLKEM1024,0.10
64,MLKEM1024,0.10
65,MLKEM1024,0.10
66,MLKEM1024,0.10
67,MLKEM1024,0.09
68,MLKEM1024,0.10
69,MLKEM1024,0.10
70,MLKEM1024,0.10
71,MLKEM1024,0.10
72,MLKEM1024,0.10
73,MLKEM1024,0.09
74,MLKEM1024,0.09
75,MLKEM1024,0.09
76,MLKEM1024,0.09
77,MLKEM1024,0.10
78,MLKEM1024,0.09
79,MLKEM1024,0.10
80,MLKEM1024,0.10
81,MLKEM1024,0.10
82,MLKEM1024,0.10
83,MLKEM1024,0.10
84,MLKEM1024,0.10
85,MLKEM1024,0.10
86,MLKEM1024,0.10
87,MLKEM1024,0.10
88,MLKEM1024,0.10
89,MLKEM1024,0.10
90,MLKEM1024,0.10
91,MLKEM1024,0.10
92,MLKEM1024,0.09
93,MLKEM1024,0.09
94,MLKEM1024,0.10
95,MLKEM1024,0.10
96,MLKEM1024,0.10
97,MLKEM1024,0.10
98,MLKEM1024,0.09
99,MLKEM1024,0.09
100,MLKEM1024,0.09
