Iteration, Algorithm, Time(s)
1,SecP256r1MLKEM768,0.10
2,SecP256r1MLKEM768,0.10
3,SecP256r1MLKEM768,0.10
4,SecP256r1MLKEM768,0.09
5,SecP256r1MLKEM768,0.09
6,SecP256r1MLKEM768,0.10
7,SecP256r1MLKEM768,0.10
8,SecP256r1MLKEM768,0.09
9,SecP256r1MLKEM768,0.10
10,SecP256r1MLKEM768,0.10
11,SecP256r1MLKEM768,0.10
12,SecP256r1MLKEM768,0.10
13,SecP256r1MLKEM768,0.10
14,SecP256r1MLKEM768,0.10
15,SecP256r1MLKEM768,0.10
16,SecP256r1MLKEM768,0.09
17,SecP256r1MLKEM768,0.10
18,SecP256r1MLKEM768,0.10
19,SecP256r1MLKEM768,0.10
20,SecP256r1MLKEM768,0.10
21,SecP256r1MLKEM768,0.10
22,SecP256r1MLKEM768,0.10
23,SecP256r1MLKEM768,0.10
24,SecP256r1MLKEM768,0.10
25,SecP256r1MLKEM768,0.10
26,SecP256r1MLKEM768,0.11
27,SecP256r1MLKEM768,0.10
28,SecP256r1MLKEM768,0.09
29,SecP256r1MLKEM768,0.09
30,SecP256r1MLKEM768,0.10
31,SecP256r1MLKEM768,0.09
32,SecP256r1MLKEM768,0.09
33,SecP256r1MLKEM768,0.09
34,SecP256r1MLKEM768,0.10
35,SecP256r1MLKEM768,0.10
36,SecP256r1MLKEM768,0.09
37,SecP256r1MLKEM768,0.10
38,SecP256r1MLKEM768,0.09
39,SecP256r1MLKEM768,0.09
40,SecP256r1MLKEM768,0.09
41,SecP256r1MLKEM768,0.09
42,SecP256r1MLKEM768,0.09
43,SecP256r1MLKEM768,0.10
44,SecP256r1MLKEM768,0.10
45,SecP256r1MLKEM768,0.09
46,SecP256r1MLKEM768,0.09
47,SecP256r1MLKEM768,0.09
48,SecP256r1MLKEM768,0.09
49,SecP256r1MLKEM768,0.09
50,SecP256r1MLKEM768,0.09
51,SecP256r1MLKEM768,0.09
52,SecP256r1MLKEM768,0.10
53,SecP256r1MLKEM768,0.10
54,SecP256r1MLKEM768,0.10
55,SecP256r1MLKEM768,0.10
56,SecP256r1MLKEM768,0.10
57,SecP256r1MLKEM768,0.09
58,SecP256r1MLKEM768,0.10
59,SecP256r1MLKEM768,0.10
60,SecP256r1MLKEM768,0.10
61,SecP256r1MLKEM768,0.10
62,SecP256r1MLKEM768,0.10
63,SecP256r1MLKEM768,0.11
64,SecP256r1MLKEM768,0.10
65,SecP256r1MLKEM768,0.10
66,SecP256r1MLKEM768,0.10
67,SecP256r1MLKEM768,0.11
68,SecP256r1MLKEM768,0.10
69,SecP256r1MLKEM768,0.10
70,SecP256r1MLKEM768,0.11
71,SecP256r1MLKEM768,0.10
72,SecP256r1MLKEM768,0.10
73,SecP256r1MLKEM768,0.10
74,SecP256r1MLKEM768,0.10
75,SecP256r1MLKEM768,0.10
76,SecP256r1MLKEM768,0.10
77,SecP256r1MLKEM768,0.09
78,SecP256r1MLKEM768,0.09
79,SecP256r1MLKEM768,0.10
80,SecP256r1MLKEM768,0.10
81,SecP256r1MLKEM768,0.10
82,SecP256r1MLKEM768,0.10
83,SecP256r1MLKEM768,0.10
84,SecP256r1MLKEM768,0.10
85,SecP256r1MLKEM768,0.10
86,SecP256r1MLKEM768,0.10
87,SecP256r1MLKEM768,0.11
88,SecP256r1MLKEM768,0.10
89,SecP256r1MLKEM768,0.10
90,SecP256r1MLKEM768,0.09
91,SecP256r1MLKEM768,0.09
92,SecP256r1MLKEM768,0.09
93,SecP256r1MLKEM768,0.09
94,SecP256r1MLKEM768,0.10
95,SecP256r1MLKEM768,0.10
96,SecP256r1MLKEM768,0.09
97,SecP256r1MLKEM768,0.10
98,SecP256r1MLKEM768,0.10
99,SecP256r1MLKEM768,0.09
100,SecP256r1MLKEM768,0.10
