Iteration, Algorithm, Time(s)
1,X25519MLKEM768,0.10
2,X25519MLKEM768,0.10
3,X25519MLKEM768,0.10
4,X25519MLKEM768,0.10
5,X25519MLKEM768,0.10
6,X25519MLKEM768,0.10
7,X25519MLKEM768,0.10
8,X25519MLKEM768,0.09
9,X25519MLKEM768,0.10
10,X25519MLKEM768,0.10
11,X25519MLKEM768,0.10
12,X25519MLKEM768,0.10
13,X25519MLKEM768,0.10
14,X25519MLKEM768,0.10
15,X25519MLKEM768,0.10
16,X25519MLKEM768,0.10
17,X25519MLKEM768,0.10
18,X25519MLKEM768,0.10
19,X25519MLKEM768,0.10
20,X25519MLKEM768,0.10
21,X25519MLKEM768,0.11
22,X25519MLKEM768,0.10
23,X25519MLKEM768,0.10
24,X25519MLKEM768,0.10
25,X25519MLKEM768,0.09
26,X25519MLKEM768,0.10
27,X25519MLKEM768,0.09
28,X25519MLKEM768,0.10
29,X25519MLKEM768,0.10
30,X25519MLKEM768,0.10
31,X25519MLKEM768,0.10
32,X25519MLKEM768,0.10
33,X25519MLKEM768,0.09
34,X25519MLKEM768,0.09
35,X25519MLKEM768,0.10
36,X25519MLKEM768,0.10
37,X25519MLKEM768,0.10
38,X25519MLKEM768,0.09
39,X25519MLKEM768,0.10
40,X25519MLKEM768,0.09
41,X25519MLKEM768,0.09
42,X25519MLKEM768,0.09
43,X25519MLKEM768,0.09
44,X25519MLKEM768,0.10
45,X25519MLKEM768,0.10
46,X25519MLKEM768,0.10
47,X25519MLKEM768,0.10
48,X25519MLKEM768,0.10
49,X25519MLKEM768,0.09
50,X25519MLKEM768,0.09
51,X25519MLKEM768,0.10
52,X25519MLKEM768,0.10
53,X25519MLKEM768,0.09
54,X25519MLKEM768,0.09
55,X25519MLKEM768,0.10
56,X25519MLKEM768,0.10
57,X25519MLKEM768,0.10
58,X25519MLKEM768,0.09
59,X25519MLKEM768,0.09
60,X25519MLKEM768,0.09
61,X25519MLKEM768,0.10
62,X25519MLKEM768,0.10
63,X25519MLKEM768,0.10
64,X25519MLKEM768,0.10
65,X25519MLKEM768,0.10
66,X25519MLKEM768,0.09
67,X25519MLKEM768,0.09
68,X25519MLKEM768,0.09
69,X25519MLKEM768,0.10
70,X25519MLKEM768,0.09
71,X25519MLKEM768,0.09
72,X25519MLKEM768,0.09
73,X25519MLKEM768,0.10
74,X25519MLKEM768,0.09
75,X25519MLKEM768,0.09
76,X25519MLKEM768,0.09
77,X25519MLKEM768,0.09
78,X25519MLKEM768,0.09
79,X25519MLKEM768,0.10
80,X25519MLKEM768,0.10
81,X25519MLKEM768,0.10
82,X25519MLKEM768,0.10
83,X25519MLKEM768,0.10
84,X25519MLKEM768,0.10
85,X25519MLKEM768,0.10
86,X25519MLKEM768,0.10
87,X25519MLKEM768,0.10
88,X25519MLKEM768,0.09
89,X25519MLKEM768,0.09
90,X25519MLKEM768,0.10
91,X25519MLKEM768,0.10
92,X25519MLKEM768,0.10
93,X25519MLKEM768,0.09
94,X25519MLKEM768,0.09
95,X25519MLKEM768,0.10
96,X25519MLKEM768,0.10
97,X25519MLKEM768,0.10
98,X25519MLKEM768,0.09
99,X25519MLKEM768,0.09
100,X25519MLKEM768,0.09
