Iteration, Algorithm, Time(s)
1,bikel3,0.13
2,bikel3,0.12
3,bikel3,0.12
4,bikel3,0.12
5,bikel3,0.12
6,bikel3,0.11
7,bikel3,0.11
8,bikel3,0.12
9,bikel3,0.11
10,bikel3,0.12
11,bikel3,0.12
12,bikel3,0.12
13,bikel3,0.12
14,bikel3,0.12
15,bikel3,0.13
16,bikel3,0.12
17,bikel3,0.12
18,bikel3,0.13
19,bikel3,0.13
20,bikel3,0.12
21,bikel3,0.12
22,bikel3,0.13
23,bikel3,0.13
24,bikel3,0.13
25,bikel3,0.12
26,bikel3,0.12
27,bikel3,0.12
28,bikel3,0.13
29,bikel3,0.12
30,bikel3,0.13
31,bikel3,0.13
32,bikel3,0.11
33,bikel3,0.12
34,bikel3,0.12
35,bikel3,0.12
36,bikel3,0.12
37,bikel3,0.13
38,bikel3,0.12
39,bikel3,0.12
40,bikel3,0.13
41,bikel3,0.12
42,bikel3,0.12
43,bikel3,0.12
44,bikel3,0.12
45,bikel3,0.11
46,bikel3,0.12
47,bikel3,0.12
48,bikel3,0.12
49,bikel3,0.12
50,bikel3,0.12
51,bikel3,0.12
52,bikel3,0.13
53,bikel3,0.12
54,bikel3,0.13
55,bikel3,0.13
56,bikel3,0.12
57,bikel3,0.12
58,bikel3,0.12
59,bikel3,0.12
60,bikel3,0.13
61,bikel3,0.12
62,bikel3,0.12
63,bikel3,0.13
64,bikel3,0.12
65,bikel3,0.12
66,bikel3,0.12
67,bikel3,0.12
68,bikel3,0.12
69,bikel3,0.12
70,bikel3,0.13
71,bikel3,0.12
72,bikel3,0.12
73,bikel3,0.12
74,bikel3,0.12
75,bikel3,0.12
76,bikel3,0.12
77,bikel3,0.12
78,bikel3,0.12
79,bikel3,0.13
80,bikel3,0.12
81,bikel3,0.12
82,bikel3,0.12
83,bikel3,0.13
84,bikel3,0.13
85,bikel3,0.13
86,bikel3,0.11
87,bikel3,0.12
88,bikel3,0.12
89,bikel3,0.12
90,bikel3,0.12
91,bikel3,0.12
92,bikel3,0.12
93,bikel3,0.12
94,bikel3,0.12
95,bikel3,0.12
96,bikel3,0.12
97,bikel3,0.12
98,bikel3,0.12
99,bikel3,0.12
100,bikel3,0.12
