Iteration, Algorithm, Time(s)
1,bp256_mlkem512,0.15
2,bp256_mlkem512,0.15
3,bp256_mlkem512,0.15
4,bp256_mlkem512,0.15
5,bp256_mlkem512,0.15
6,bp256_mlkem512,0.15
7,bp256_mlkem512,0.15
8,bp256_mlkem512,0.15
9,bp256_mlkem512,0.13
10,bp256_mlkem512,0.13
11,bp256_mlkem512,0.15
12,bp256_mlkem512,0.15
13,bp256_mlkem512,0.16
14,bp256_mlkem512,0.15
15,bp256_mlkem512,0.15
16,bp256_mlkem512,0.15
17,bp256_mlkem512,0.15
18,bp256_mlkem512,0.15
19,bp256_mlkem512,0.15
20,bp256_mlkem512,0.15
21,bp256_mlkem512,0.15
22,bp256_mlkem512,0.15
23,bp256_mlkem512,0.15
24,bp256_mlkem512,0.15
25,bp256_mlkem512,0.15
26,bp256_mlkem512,0.15
27,bp256_mlkem512,0.15
28,bp256_mlkem512,0.15
29,bp256_mlkem512,0.15
30,bp256_mlkem512,0.15
31,bp256_mlkem512,0.15
32,bp256_mlkem512,0.14
33,bp256_mlkem512,0.15
34,bp256_mlkem512,0.15
35,bp256_mlkem512,0.13
36,bp256_mlkem512,0.15
37,bp256_mlkem512,0.15
38,bp256_mlkem512,0.15
39,bp256_mlkem512,0.15
40,bp256_mlkem512,0.15
41,bp256_mlkem512,0.15
42,bp256_mlkem512,0.15
43,bp256_mlkem512,0.15
44,bp256_mlkem512,0.15
45,bp256_mlkem512,0.16
46,bp256_mlkem512,0.15
47,bp256_mlkem512,0.15
48,bp256_mlkem512,0.15
49,bp256_mlkem512,0.15
50,bp256_mlkem512,0.15
51,bp256_mlkem512,0.15
52,bp256_mlkem512,0.15
53,bp256_mlkem512,0.15
54,bp256_mlkem512,0.15
55,bp256_mlkem512,0.15
56,bp256_mlkem512,0.15
57,bp256_mlkem512,0.16
58,bp256_mlkem512,0.15
59,bp256_mlkem512,0.15
60,bp256_mlkem512,0.15
61,bp256_mlkem512,0.15
62,bp256_mlkem512,0.15
63,bp256_mlkem512,0.15
64,bp256_mlkem512,0.15
65,bp256_mlkem512,0.15
66,bp256_mlkem512,0.15
67,bp256_mlkem512,0.15
68,bp256_mlkem512,0.15
69,bp256_mlkem512,0.15
70,bp256_mlkem512,0.15
71,bp256_mlkem512,0.15
72,bp256_mlkem512,0.15
73,bp256_mlkem512,0.15
74,bp256_mlkem512,0.15
75,bp256_mlkem512,0.15
76,bp256_mlkem512,0.15
77,bp256_mlkem512,0.16
78,bp256_mlkem512,0.15
79,bp256_mlkem512,0.13
80,bp256_mlkem512,0.14
81,bp256_mlkem512,0.15
82,bp256_mlkem512,0.15
83,bp256_mlkem512,0.15
84,bp256_mlkem512,0.15
85,bp256_mlkem512,0.15
86,bp256_mlkem512,0.15
87,bp256_mlkem512,0.15
88,bp256_mlkem512,0.15
89,bp256_mlkem512,0.15
90,bp256_mlkem512,0.15
91,bp256_mlkem512,0.15
92,bp256_mlkem512,0.15
93,bp256_mlkem512,0.13
94,bp256_mlkem512,0.15
95,bp256_mlkem512,0.15
96,bp256_mlkem512,0.15
97,bp256_mlkem512,0.15
98,bp256_mlkem512,0.15
99,bp256_mlkem512,0.13
100,bp256_mlkem512,0.15
