Iteration, Algorithm, Time(s)
1,brainpoolP256r1tls13,0.10
2,brainpoolP256r1tls13,0.11
3,brainpoolP256r1tls13,0.10
4,brainpoolP256r1tls13,0.10
5,brainpoolP256r1tls13,0.10
6,brainpoolP256r1tls13,0.10
7,brainpoolP256r1tls13,0.10
8,brainpoolP256r1tls13,0.10
9,brainpoolP256r1tls13,0.10
10,brainpoolP256r1tls13,0.11
11,brainpoolP256r1tls13,0.10
12,brainpoolP256r1tls13,0.11
13,brainpoolP256r1tls13,0.10
14,brainpoolP256r1tls13,0.10
15,brainpoolP256r1tls13,0.10
16,brainpoolP256r1tls13,0.09
17,brainpoolP256r1tls13,0.11
18,brainpoolP256r1tls13,0.10
19,brainpoolP256r1tls13,0.10
20,brainpoolP256r1tls13,0.09
21,brainpoolP256r1tls13,0.10
22,brainpoolP256r1tls13,0.10
23,brainpoolP256r1tls13,0.10
24,brainpoolP256r1tls13,0.10
25,brainpoolP256r1tls13,0.09
26,brainpoolP256r1tls13,0.10
27,brainpoolP256r1tls13,0.10
28,brainpoolP256r1tls13,0.11
29,brainpoolP256r1tls13,0.10
30,brainpoolP256r1tls13,0.10
31,brainpoolP256r1tls13,0.10
32,brainpoolP256r1tls13,0.10
33,brainpoolP256r1tls13,0.10
34,brainpoolP256r1tls13,0.10
35,brainpoolP256r1tls13,0.09
36,brainpoolP256r1tls13,0.09
37,brainpoolP256r1tls13,0.10
38,brainpoolP256r1tls13,0.11
39,brainpoolP256r1tls13,0.10
40,brainpoolP256r1tls13,0.10
41,brainpoolP256r1tls13,0.10
42,brainpoolP256r1tls13,0.10
43,brainpoolP256r1tls13,0.09
44,brainpoolP256r1tls13,0.10
45,brainpoolP256r1tls13,0.10
46,brainpoolP256r1tls13,0.09
47,brainpoolP256r1tls13,0.10
48,brainpoolP256r1tls13,0.10
49,brainpoolP256r1tls13,0.10
50,brainpoolP256r1tls13,0.10
51,brainpoolP256r1tls13,0.10
52,brainpoolP256r1tls13,0.10
53,brainpoolP256r1tls13,0.11
54,brainpoolP256r1tls13,0.10
55,brainpoolP256r1tls13,0.10
56,brainpoolP256r1tls13,0.10
57,brainpoolP256r1tls13,0.10
58,brainpoolP256r1tls13,0.11
59,brainpoolP256r1tls13,0.10
60,brainpoolP256r1tls13,0.10
61,brainpoolP256r1tls13,0.10
62,brainpoolP256r1tls13,0.09
63,brainpoolP256r1tls13,0.10
64,brainpoolP256r1tls13,0.10
65,brainpoolP256r1tls13,0.10
66,brainpoolP256r1tls13,0.10
67,brainpoolP256r1tls13,0.10
68,brainpoolP256r1tls13,0.09
69,brainpoolP256r1tls13,0.09
70,brainpoolP256r1tls13,0.10
71,brainpoolP256r1tls13,0.10
72,brainpoolP256r1tls13,0.10
73,brainpoolP256r1tls13,0.10
74,brainpoolP256r1tls13,0.09
75,brainpoolP256r1tls13,0.10
76,brainpoolP256r1tls13,0.09
77,brainpoolP256r1tls13,0.10
78,brainpoolP256r1tls13,0.09
79,brainpoolP256r1tls13,0.09
80,brainpoolP256r1tls13,0.10
81,brainpoolP256r1tls13,0.10
82,brainpoolP256r1tls13,0.10
83,brainpoolP256r1tls13,0.10
84,brainpoolP256r1tls13,0.09
85,brainpoolP256r1tls13,0.11
86,brainpoolP256r1tls13,0.10
87,brainpoolP256r1tls13,0.10
88,brainpoolP256r1tls13,0.10
89,brainpoolP256r1tls13,0.09
90,brainpoolP256r1tls13,0.10
91,brainpoolP256r1tls13,0.10
92,brainpoolP256r1tls13,0.10
93,brainpoolP256r1tls13,0.11
94,brainpoolP256r1tls13,0.10
95,brainpoolP256r1tls13,0.10
96,brainpoolP256r1tls13,0.10
97,brainpoolP256r1tls13,0.10
98,brainpoolP256r1tls13,0.10
99,brainpoolP256r1tls13,0.09
100,brainpoolP256r1tls13,0.10
