Iteration, Algorithm, Time(s)
1,ffdhe4096,0.12
2,ffdhe4096,0.12
3,ffdhe4096,0.12
4,ffdhe4096,0.12
5,ffdhe4096,0.11
6,ffdhe4096,0.12
7,ffdhe4096,0.12
8,ffdhe4096,0.11
9,ffdhe4096,0.11
10,ffdhe4096,0.11
11,ffdhe4096,0.12
12,ffdhe4096,0.12
13,ffdhe4096,0.12
14,ffdhe4096,0.12
15,ffdhe4096,0.12
16,ffdhe4096,0.12
17,ffdhe4096,0.11
18,ffdhe4096,0.12
19,ffdhe4096,0.12
20,ffdhe4096,0.12
21,ffdhe4096,0.13
22,ffdhe4096,0.11
23,ffdhe4096,0.11
24,ffdhe4096,0.12
25,ffdhe4096,0.12
26,ffdhe4096,0.12
27,ffdhe4096,0.12
28,ffdhe4096,0.12
29,ffdhe4096,0.11
30,ffdhe4096,0.12
31,ffdhe4096,0.12
32,ffdhe4096,0.11
33,ffdhe4096,0.12
34,ffdhe4096,0.12
35,ffdhe4096,0.11
36,ffdhe4096,0.11
37,ffdhe4096,0.11
38,ffdhe4096,0.11
39,ffdhe4096,0.11
40,ffdhe4096,0.11
41,ffdhe4096,0.11
42,ffdhe4096,0.12
43,ffdhe4096,0.11
44,ffdhe4096,0.12
45,ffdhe4096,0.12
46,ffdhe4096,0.11
47,ffdhe4096,0.12
48,ffdhe4096,0.11
49,ffdhe4096,0.11
50,ffdhe4096,0.12
51,ffdhe4096,0.12
52,ffdhe4096,0.12
53,ffdhe4096,0.11
54,ffdhe4096,0.11
55,ffdhe4096,0.12
56,ffdhe4096,0.12
57,ffdhe4096,0.12
58,ffdhe4096,0.12
59,ffdhe4096,0.12
60,ffdhe4096,0.12
61,ffdhe4096,0.12
62,ffdhe4096,0.12
63,ffdhe4096,0.12
64,ffdhe4096,0.11
65,ffdhe4096,0.12
66,ffdhe4096,0.12
67,ffdhe4096,0.11
68,ffdhe4096,0.12
69,ffdhe4096,0.13
70,ffdhe4096,0.12
71,ffdhe4096,0.12
72,ffdhe4096,0.11
73,ffdhe4096,0.13
74,ffdhe4096,0.12
75,ffdhe4096,0.12
76,ffdhe4096,0.12
77,ffdhe4096,0.12
78,ffdhe4096,0.12
79,ffdhe4096,0.11
80,ffdhe4096,0.13
81,ffdhe4096,0.12
82,ffdhe4096,0.12
83,ffdhe4096,0.12
84,ffdhe4096,0.11
85,ffdhe4096,0.12
86,ffdhe4096,0.12
87,ffdhe4096,0.12
88,ffdhe4096,0.12
89,ffdhe4096,0.12
90,ffdhe4096,0.12
91,ffdhe4096,0.12
92,ffdhe4096,0.12
93,ffdhe4096,0.12
94,ffdhe4096,0.12
95,ffdhe4096,0.13
96,ffdhe4096,0.12
97,ffdhe4096,0.12
98,ffdhe4096,0.11
99,ffdhe4096,0.12
100,ffdhe4096,0.11
