Iteration, Algorithm, Time(s)
1,frodo640aes,0.15
2,frodo640aes,0.15
3,frodo640aes,0.16
4,frodo640aes,0.15
5,frodo640aes,0.17
6,frodo640aes,0.16
7,frodo640aes,0.15
8,frodo640aes,0.15
9,frodo640aes,0.15
10,frodo640aes,0.15
11,frodo640aes,0.15
12,frodo640aes,0.14
13,frodo640aes,0.15
14,frodo640aes,0.14
15,frodo640aes,0.14
16,frodo640aes,0.15
17,frodo640aes,0.14
18,frodo640aes,0.14
19,frodo640aes,0.16
20,frodo640aes,0.16
21,frodo640aes,0.16
22,frodo640aes,0.15
23,frodo640aes,0.15
24,frodo640aes,0.15
25,frodo640aes,0.14
26,frodo640aes,0.14
27,frodo640aes,0.15
28,frodo640aes,0.16
29,frodo640aes,0.15
30,frodo640aes,0.15
31,frodo640aes,0.15
32,frodo640aes,0.16
33,frodo640aes,0.15
34,frodo640aes,0.15
35,frodo640aes,0.15
36,frodo640aes,0.14
37,frodo640aes,0.15
38,frodo640aes,0.14
39,frodo640aes,0.15
40,frodo640aes,0.14
41,frodo640aes,0.15
42,frodo640aes,0.15
43,frodo640aes,0.15
44,frodo640aes,0.15
45,frodo640aes,0.16
46,frodo640aes,0.14
47,frodo640aes,0.14
48,frodo640aes,0.15
49,frodo640aes,0.15
50,frodo640aes,0.16
51,frodo640aes,0.15
52,frodo640aes,0.14
53,frodo640aes,0.15
54,frodo640aes,0.15
55,frodo640aes,0.14
56,frodo640aes,0.15
57,frodo640aes,0.15
58,frodo640aes,0.16
59,frodo640aes,0.16
60,frodo640aes,0.15
61,frodo640aes,0.16
62,frodo640aes,0.17
63,frodo640aes,0.15
64,frodo640aes,0.16
65,frodo640aes,0.15
66,frodo640aes,0.14
67,frodo640aes,0.15
68,frodo640aes,0.15
69,frodo640aes,0.15
70,frodo640aes,0.16
71,frodo640aes,0.15
72,frodo640aes,0.15
73,frodo640aes,0.15
74,frodo640aes,0.16
75,frodo640aes,0.15
76,frodo640aes,0.15
77,frodo640aes,0.15
78,frodo640aes,0.15
79,frodo640aes,0.15
80,frodo640aes,0.15
81,frodo640aes,0.14
82,frodo640aes,0.14
83,frodo640aes,0.15
84,frodo640aes,0.15
85,frodo640aes,0.16
86,frodo640aes,0.16
87,frodo640aes,0.15
88,frodo640aes,0.15
89,frodo640aes,0.15
90,frodo640aes,0.15
91,frodo640aes,0.15
92,frodo640aes,0.15
93,frodo640aes,0.15
94,frodo640aes,0.15
95,frodo640aes,0.15
96,frodo640aes,0.15
97,frodo640aes,0.15
98,frodo640aes,0.15
99,frodo640aes,0.15
100,frodo640aes,0.14
