Iteration, Algorithm, Time(s)
1,frodo640shake,0.12
2,frodo640shake,0.13
3,frodo640shake,0.11
4,frodo640shake,0.12
5,frodo640shake,0.11
6,frodo640shake,0.11
7,frodo640shake,0.12
8,frodo640shake,0.11
9,frodo640shake,0.11
10,frodo640shake,0.13
11,frodo640shake,0.11
12,frodo640shake,0.13
13,frodo640shake,0.11
14,frodo640shake,0.12
15,frodo640shake,0.12
16,frodo640shake,0.12
17,frodo640shake,0.12
18,frodo640shake,0.12
19,frodo640shake,0.12
20,frodo640shake,0.11
21,frodo640shake,0.11
22,frodo640shake,0.12
23,frodo640shake,0.12
24,frodo640shake,0.11
25,frodo640shake,0.12
26,frodo640shake,0.12
27,frodo640shake,0.12
28,frodo640shake,0.12
29,frodo640shake,0.12
30,frodo640shake,0.12
31,frodo640shake,0.12
32,frodo640shake,0.12
33,frodo640shake,0.11
34,frodo640shake,0.12
35,frodo640shake,0.11
36,frodo640shake,0.12
37,frodo640shake,0.11
38,frodo640shake,0.11
39,frodo640shake,0.12
40,frodo640shake,0.11
41,frodo640shake,0.12
42,frodo640shake,0.12
43,frodo640shake,0.13
44,frodo640shake,0.12
45,frodo640shake,0.11
46,frodo640shake,0.12
47,frodo640shake,0.12
48,frodo640shake,0.12
49,frodo640shake,0.12
50,frodo640shake,0.12
51,frodo640shake,0.13
52,frodo640shake,0.11
53,frodo640shake,0.11
54,frodo640shake,0.12
55,frodo640shake,0.12
56,frodo640shake,0.11
57,frodo640shake,0.12
58,frodo640shake,0.12
59,frodo640shake,0.12
60,frodo640shake,0.11
61,frodo640shake,0.11
62,frodo640shake,0.11
63,frodo640shake,0.11
64,frodo640shake,0.12
65,frodo640shake,0.12
66,frodo640shake,0.12
67,frodo640shake,0.12
68,frodo640shake,0.12
69,frodo640shake,0.11
70,frodo640shake,0.11
71,frodo640shake,0.12
72,frodo640shake,0.11
73,frodo640shake,0.12
74,frodo640shake,0.12
75,frodo640shake,0.12
76,frodo640shake,0.12
77,frodo640shake,0.11
78,frodo640shake,0.12
79,frodo640shake,0.12
80,frodo640shake,0.12
81,frodo640shake,0.12
82,frodo640shake,0.12
83,frodo640shake,0.12
84,frodo640shake,0.12
85,frodo640shake,0.12
86,frodo640shake,0.11
87,frodo640shake,0.11
88,frodo640shake,0.12
89,frodo640shake,0.11
90,frodo640shake,0.12
91,frodo640shake,0.12
92,frodo640shake,0.12
93,frodo640shake,0.12
94,frodo640shake,0.12
95,frodo640shake,0.12
96,frodo640shake,0.12
97,frodo640shake,0.12
98,frodo640shake,0.11
99,frodo640shake,0.12
100,frodo640shake,0.12
