Iteration, Algorithm, Time(s)
1,p256_frodo640shake,0.17
2,p256_frodo640shake,0.15
3,p256_frodo640shake,0.16
4,p256_frodo640shake,0.15
5,p256_frodo640shake,0.15
6,p256_frodo640shake,0.16
7,p256_frodo640shake,0.15
8,p256_frodo640shake,0.15
9,p256_frodo640shake,0.15
10,p256_frodo640shake,0.15
11,p256_frodo640shake,0.14
12,p256_frodo640shake,0.15
13,p256_frodo640shake,0.14
14,p256_frodo640shake,0.15
15,p256_frodo640shake,0.15
16,p256_frodo640shake,0.15
17,p256_frodo640shake,0.15
18,p256_frodo640shake,0.15
19,p256_frodo640shake,0.15
20,p256_frodo640shake,0.15
21,p256_frodo640shake,0.14
22,p256_frodo640shake,0.15
23,p256_frodo640shake,0.15
24,p256_frodo640shake,0.16
25,p256_frodo640shake,0.15
26,p256_frodo640shake,0.16
27,p256_frodo640shake,0.16
28,p256_frodo640shake,0.16
29,p256_frodo640shake,0.16
30,p256_frodo640shake,0.16
31,p256_frodo640shake,0.14
32,p256_frodo640shake,0.16
33,p256_frodo640shake,0.16
34,p256_frodo640shake,0.15
35,p256_frodo640shake,0.16
36,p256_frodo640shake,0.17
37,p256_frodo640shake,0.16
38,p256_frodo640shake,0.15
39,p256_frodo640shake,0.16
40,p256_frodo640shake,0.15
41,p256_frodo640shake,0.16
42,p256_frodo640shake,0.15
43,p256_frodo640shake,0.15
44,p256_frodo640shake,0.16
45,p256_frodo640shake,0.15
46,p256_frodo640shake,0.16
47,p256_frodo640shake,0.15
48,p256_frodo640shake,0.16
49,p256_frodo640shake,0.16
50,p256_frodo640shake,0.16
51,p256_frodo640shake,0.16
52,p256_frodo640shake,0.16
53,p256_frodo640shake,0.16
54,p256_frodo640shake,0.15
55,p256_frodo640shake,0.16
56,p256_frodo640shake,0.16
57,p256_frodo640shake,0.15
58,p256_frodo640shake,0.15
59,p256_frodo640shake,0.15
60,p256_frodo640shake,0.16
61,p256_frodo640shake,0.15
62,p256_frodo640shake,0.15
63,p256_frodo640shake,0.15
64,p256_frodo640shake,0.15
65,p256_frodo640shake,0.15
66,p256_frodo640shake,0.15
67,p256_frodo640shake,0.16
68,p256_frodo640shake,0.16
69,p256_frodo640shake,0.16
70,p256_frodo640shake,0.16
71,p256_frodo640shake,0.15
72,p256_frodo640shake,0.16
73,p256_frodo640shake,0.16
74,p256_frodo640shake,0.15
75,p256_frodo640shake,0.15
76,p256_frodo640shake,0.16
77,p256_frodo640shake,0.15
78,p256_frodo640shake,0.15
79,p256_frodo640shake,0.15
80,p256_frodo640shake,0.15
81,p256_frodo640shake,0.14
82,p256_frodo640shake,0.15
83,p256_frodo640shake,0.16
84,p256_frodo640shake,0.15
85,p256_frodo640shake,0.15
86,p256_frodo640shake,0.16
87,p256_frodo640shake,0.16
88,p256_frodo640shake,0.15
89,p256_frodo640shake,0.15
90,p256_frodo640shake,0.16
91,p256_frodo640shake,0.15
92,p256_frodo640shake,0.15
93,p256_frodo640shake,0.15
94,p256_frodo640shake,0.15
95,p256_frodo640shake,0.15
96,p256_frodo640shake,0.15
97,p256_frodo640shake,0.15
98,p256_frodo640shake,0.15
99,p256_frodo640shake,0.15
100,p256_frodo640shake,0.15
