Iteration, Algorithm, Time(s)
1,p384_mlkem768,0.14
2,p384_mlkem768,0.14
3,p384_mlkem768,0.14
4,p384_mlkem768,0.13
5,p384_mlkem768,0.13
6,p384_mlkem768,0.14
7,p384_mlkem768,0.13
8,p384_mlkem768,0.14
9,p384_mlkem768,0.14
10,p384_mlkem768,0.14
11,p384_mlkem768,0.13
12,p384_mlkem768,0.14
13,p384_mlkem768,0.15
14,p384_mlkem768,0.14
15,p384_mlkem768,0.14
16,p384_mlkem768,0.14
17,p384_mlkem768,0.14
18,p384_mlkem768,0.14
19,p384_mlkem768,0.13
20,p384_mlkem768,0.14
21,p384_mlkem768,0.14
22,p384_mlkem768,0.14
23,p384_mlkem768,0.14
24,p384_mlkem768,0.14
25,p384_mlkem768,0.13
26,p384_mlkem768,0.13
27,p384_mlkem768,0.14
28,p384_mlkem768,0.13
29,p384_mlkem768,0.13
30,p384_mlkem768,0.14
31,p384_mlkem768,0.14
32,p384_mlkem768,0.14
33,p384_mlkem768,0.14
34,p384_mlkem768,0.14
35,p384_mlkem768,0.13
36,p384_mlkem768,0.13
37,p384_mlkem768,0.13
38,p384_mlkem768,0.13
39,p384_mlkem768,0.13
40,p384_mlkem768,0.14
41,p384_mlkem768,0.15
42,p384_mlkem768,0.14
43,p384_mlkem768,0.14
44,p384_mlkem768,0.14
45,p384_mlkem768,0.14
46,p384_mlkem768,0.14
47,p384_mlkem768,0.14
48,p384_mlkem768,0.14
49,p384_mlkem768,0.14
50,p384_mlkem768,0.14
51,p384_mlkem768,0.15
52,p384_mlkem768,0.14
53,p384_mlkem768,0.13
54,p384_mlkem768,0.14
55,p384_mlkem768,0.13
56,p384_mlkem768,0.14
57,p384_mlkem768,0.14
58,p384_mlkem768,0.14
59,p384_mlkem768,0.13
60,p384_mlkem768,0.14
61,p384_mlkem768,0.14
62,p384_mlkem768,0.14
63,p384_mlkem768,0.14
64,p384_mlkem768,0.14
65,p384_mlkem768,0.14
66,p384_mlkem768,0.13
67,p384_mlkem768,0.13
68,p384_mlkem768,0.13
69,p384_mlkem768,0.13
70,p384_mlkem768,0.15
71,p384_mlkem768,0.14
72,p384_mlkem768,0.14
73,p384_mlkem768,0.14
74,p384_mlkem768,0.13
75,p384_mlkem768,0.13
76,p384_mlkem768,0.13
77,p384_mlkem768,0.15
78,p384_mlkem768,0.14
79,p384_mlkem768,0.15
80,p384_mlkem768,0.14
81,p384_mlkem768,0.13
82,p384_mlkem768,0.15
83,p384_mlkem768,0.14
84,p384_mlkem768,0.13
85,p384_mlkem768,0.13
86,p384_mlkem768,0.14
87,p384_mlkem768,0.13
88,p384_mlkem768,0.13
89,p384_mlkem768,0.13
90,p384_mlkem768,0.14
91,p384_mlkem768,0.14
92,p384_mlkem768,0.14
93,p384_mlkem768,0.14
94,p384_mlkem768,0.14
95,p384_mlkem768,0.13
96,p384_mlkem768,0.14
97,p384_mlkem768,0.14
98,p384_mlkem768,0.14
99,p384_mlkem768,0.13
100,p384_mlkem768,0.13
