Iteration, Algorithm, Time(s)
1,p521_bikel5,0.21
2,p521_bikel5,0.21
3,p521_bikel5,0.21
4,p521_bikel5,0.21
5,p521_bikel5,0.21
6,p521_bikel5,0.21
7,p521_bikel5,0.21
8,p521_bikel5,0.21
9,p521_bikel5,0.21
10,p521_bikel5,0.21
11,p521_bikel5,0.21
12,p521_bikel5,0.21
13,p521_bikel5,0.22
14,p521_bikel5,0.21
15,p521_bikel5,0.21
16,p521_bikel5,0.21
17,p521_bikel5,0.21
18,p521_bikel5,0.21
19,p521_bikel5,0.21
20,p521_bikel5,0.21
21,p521_bikel5,0.21
22,p521_bikel5,0.21
23,p521_bikel5,0.21
24,p521_bikel5,0.21
25,p521_bikel5,0.21
26,p521_bikel5,0.21
27,p521_bikel5,0.21
28,p521_bikel5,0.19
29,p521_bikel5,0.21
30,p521_bikel5,0.19
31,p521_bikel5,0.21
32,p521_bikel5,0.21
33,p521_bikel5,0.20
34,p521_bikel5,0.20
35,p521_bikel5,0.19
36,p521_bikel5,0.21
37,p521_bikel5,0.21
38,p521_bikel5,0.21
39,p521_bikel5,0.21
40,p521_bikel5,0.21
41,p521_bikel5,0.21
42,p521_bikel5,0.21
43,p521_bikel5,0.22
44,p521_bikel5,0.20
45,p521_bikel5,0.21
46,p521_bikel5,0.21
47,p521_bikel5,0.21
48,p521_bikel5,0.21
49,p521_bikel5,0.22
50,p521_bikel5,0.21
51,p521_bikel5,0.21
52,p521_bikel5,0.21
53,p521_bikel5,0.21
54,p521_bikel5,0.21
55,p521_bikel5,0.21
56,p521_bikel5,0.21
57,p521_bikel5,0.21
58,p521_bikel5,0.22
59,p521_bikel5,0.20
60,p521_bikel5,0.19
61,p521_bikel5,0.22
62,p521_bikel5,0.21
63,p521_bikel5,0.19
64,p521_bikel5,0.21
65,p521_bikel5,0.21
66,p521_bikel5,0.21
67,p521_bikel5,0.21
68,p521_bikel5,0.21
69,p521_bikel5,0.21
70,p521_bikel5,0.21
71,p521_bikel5,0.21
72,p521_bikel5,0.21
73,p521_bikel5,0.21
74,p521_bikel5,0.21
75,p521_bikel5,0.19
76,p521_bikel5,0.21
77,p521_bikel5,0.21
78,p521_bikel5,0.21
79,p521_bikel5,0.19
80,p521_bikel5,0.19
81,p521_bikel5,0.19
82,p521_bikel5,0.21
83,p521_bikel5,0.19
84,p521_bikel5,0.20
85,p521_bikel5,0.21
86,p521_bikel5,0.20
87,p521_bikel5,0.21
88,p521_bikel5,0.21
89,p521_bikel5,0.21
90,p521_bikel5,0.21
91,p521_bikel5,0.21
92,p521_bikel5,0.21
93,p521_bikel5,0.21
94,p521_bikel5,0.21
95,p521_bikel5,0.19
96,p521_bikel5,0.20
97,p521_bikel5,0.21
98,p521_bikel5,0.21
99,p521_bikel5,0.21
100,p521_bikel5,0.21
