Iteration, Algorithm, Time(s)
1,p521_frodo1344aes,0.38
2,p521_frodo1344aes,0.38
3,p521_frodo1344aes,0.38
4,p521_frodo1344aes,0.36
5,p521_frodo1344aes,0.38
6,p521_frodo1344aes,0.36
7,p521_frodo1344aes,0.37
8,p521_frodo1344aes,0.39
9,p521_frodo1344aes,0.38
10,p521_frodo1344aes,0.37
11,p521_frodo1344aes,0.38
12,p521_frodo1344aes,0.37
13,p521_frodo1344aes,0.39
14,p521_frodo1344aes,0.38
15,p521_frodo1344aes,0.38
16,p521_frodo1344aes,0.39
17,p521_frodo1344aes,0.37
18,p521_frodo1344aes,0.37
19,p521_frodo1344aes,0.39
20,p521_frodo1344aes,0.38
21,p521_frodo1344aes,0.38
22,p521_frodo1344aes,0.36
23,p521_frodo1344aes,0.37
24,p521_frodo1344aes,0.37
25,p521_frodo1344aes,0.38
26,p521_frodo1344aes,0.37
27,p521_frodo1344aes,0.37
28,p521_frodo1344aes,0.36
29,p521_frodo1344aes,0.38
30,p521_frodo1344aes,0.38
31,p521_frodo1344aes,0.39
32,p521_frodo1344aes,0.39
33,p521_frodo1344aes,0.38
34,p521_frodo1344aes,0.37
35,p521_frodo1344aes,0.37
36,p521_frodo1344aes,0.37
37,p521_frodo1344aes,0.37
38,p521_frodo1344aes,0.39
39,p521_frodo1344aes,0.38
40,p521_frodo1344aes,0.37
41,p521_frodo1344aes,0.37
42,p521_frodo1344aes,0.36
43,p521_frodo1344aes,0.39
44,p521_frodo1344aes,0.36
45,p521_frodo1344aes,0.37
46,p521_frodo1344aes,0.38
47,p521_frodo1344aes,0.39
48,p521_frodo1344aes,0.37
49,p521_frodo1344aes,0.36
50,p521_frodo1344aes,0.38
51,p521_frodo1344aes,0.38
52,p521_frodo1344aes,0.38
53,p521_frodo1344aes,0.38
54,p521_frodo1344aes,0.39
55,p521_frodo1344aes,0.37
56,p521_frodo1344aes,0.38
57,p521_frodo1344aes,0.37
58,p521_frodo1344aes,0.38
59,p521_frodo1344aes,0.37
60,p521_frodo1344aes,0.37
61,p521_frodo1344aes,0.37
62,p521_frodo1344aes,0.39
63,p521_frodo1344aes,0.37
64,p521_frodo1344aes,0.36
65,p521_frodo1344aes,0.38
66,p521_frodo1344aes,0.39
67,p521_frodo1344aes,0.38
68,p521_frodo1344aes,0.36
69,p521_frodo1344aes,0.36
70,p521_frodo1344aes,0.37
71,p521_frodo1344aes,0.38
72,p521_frodo1344aes,0.38
73,p521_frodo1344aes,0.37
74,p521_frodo1344aes,0.37
75,p521_frodo1344aes,0.37
76,p521_frodo1344aes,0.37
77,p521_frodo1344aes,0.38
78,p521_frodo1344aes,0.37
79,p521_frodo1344aes,0.38
80,p521_frodo1344aes,0.38
81,p521_frodo1344aes,0.38
82,p521_frodo1344aes,0.37
83,p521_frodo1344aes,0.37
84,p521_frodo1344aes,0.38
85,p521_frodo1344aes,0.37
86,p521_frodo1344aes,0.38
87,p521_frodo1344aes,0.38
88,p521_frodo1344aes,0.37
89,p521_frodo1344aes,0.38
90,p521_frodo1344aes,0.37
91,p521_frodo1344aes,0.36
92,p521_frodo1344aes,0.38
93,p521_frodo1344aes,0.39
94,p521_frodo1344aes,0.38
95,p521_frodo1344aes,0.38
96,p521_frodo1344aes,0.38
97,p521_frodo1344aes,0.38
98,p521_frodo1344aes,0.37
99,p521_frodo1344aes,0.38
100,p521_frodo1344aes,0.37
