Iteration, Algorithm, Time(s)
1,secp384r1,0.10
2,secp384r1,0.10
3,secp384r1,0.10
4,secp384r1,0.10
5,secp384r1,0.10
6,secp384r1,0.10
7,secp384r1,0.10
8,secp384r1,0.10
9,secp384r1,0.10
10,secp384r1,0.10
11,secp384r1,0.10
12,secp384r1,0.10
13,secp384r1,0.09
14,secp384r1,0.10
15,secp384r1,0.10
16,secp384r1,0.10
17,secp384r1,0.10
18,secp384r1,0.10
19,secp384r1,0.10
20,secp384r1,0.10
21,secp384r1,0.10
22,secp384r1,0.10
23,secp384r1,0.10
24,secp384r1,0.10
25,secp384r1,0.10
26,secp384r1,0.10
27,secp384r1,0.09
28,secp384r1,0.10
29,secp384r1,0.10
30,secp384r1,0.10
31,secp384r1,0.10
32,secp384r1,0.10
33,secp384r1,0.10
34,secp384r1,0.10
35,secp384r1,0.10
36,secp384r1,0.10
37,secp384r1,0.10
38,secp384r1,0.10
39,secp384r1,0.10
40,secp384r1,0.10
41,secp384r1,0.10
42,secp384r1,0.10
43,secp384r1,0.10
44,secp384r1,0.10
45,secp384r1,0.10
46,secp384r1,0.10
47,secp384r1,0.10
48,secp384r1,0.10
49,secp384r1,0.10
50,secp384r1,0.09
51,secp384r1,0.10
52,secp384r1,0.10
53,secp384r1,0.10
54,secp384r1,0.10
55,secp384r1,0.10
56,secp384r1,0.09
57,secp384r1,0.10
58,secp384r1,0.10
59,secp384r1,0.10
60,secp384r1,0.10
61,secp384r1,0.11
62,secp384r1,0.10
63,secp384r1,0.10
64,secp384r1,0.10
65,secp384r1,0.10
66,secp384r1,0.10
67,secp384r1,0.10
68,secp384r1,0.09
69,secp384r1,0.10
70,secp384r1,0.10
71,secp384r1,0.10
72,secp384r1,0.10
73,secp384r1,0.10
74,secp384r1,0.10
75,secp384r1,0.10
76,secp384r1,0.10
77,secp384r1,0.10
78,secp384r1,0.10
79,secp384r1,0.10
80,secp384r1,0.10
81,secp384r1,0.10
82,secp384r1,0.10
83,secp384r1,0.10
84,secp384r1,0.10
85,secp384r1,0.10
86,secp384r1,0.10
87,secp384r1,0.10
88,secp384r1,0.10
89,secp384r1,0.10
90,secp384r1,0.10
91,secp384r1,0.09
92,secp384r1,0.10
93,secp384r1,0.10
94,secp384r1,0.10
95,secp384r1,0.10
96,secp384r1,0.10
97,secp384r1,0.09
98,secp384r1,0.10
99,secp384r1,0.10
100,secp384r1,0.10
