Iteration, Algorithm, Time(s)
1,x25519_mlkem512,0.10
2,x25519_mlkem512,0.10
3,x25519_mlkem512,0.10
4,x25519_mlkem512,0.10
5,x25519_mlkem512,0.10
6,x25519_mlkem512,0.11
7,x25519_mlkem512,0.10
8,x25519_mlkem512,0.10
9,x25519_mlkem512,0.10
10,x25519_mlkem512,0.10
11,x25519_mlkem512,0.10
12,x25519_mlkem512,0.11
13,x25519_mlkem512,0.11
14,x25519_mlkem512,0.11
15,x25519_mlkem512,0.11
16,x25519_mlkem512,0.10
17,x25519_mlkem512,0.10
18,x25519_mlkem512,0.10
19,x25519_mlkem512,0.11
20,x25519_mlkem512,0.10
21,x25519_mlkem512,0.10
22,x25519_mlkem512,0.10
23,x25519_mlkem512,0.11
24,x25519_mlkem512,0.11
25,x25519_mlkem512,0.10
26,x25519_mlkem512,0.10
27,x25519_mlkem512,0.10
28,x25519_mlkem512,0.11
29,x25519_mlkem512,0.10
30,x25519_mlkem512,0.10
31,x25519_mlkem512,0.11
32,x25519_mlkem512,0.11
33,x25519_mlkem512,0.11
34,x25519_mlkem512,0.11
35,x25519_mlkem512,0.11
36,x25519_mlkem512,0.11
37,x25519_mlkem512,0.10
38,x25519_mlkem512,0.10
39,x25519_mlkem512,0.11
40,x25519_mlkem512,0.11
41,x25519_mlkem512,0.10
42,x25519_mlkem512,0.10
43,x25519_mlkem512,0.10
44,x25519_mlkem512,0.10
45,x25519_mlkem512,0.10
46,x25519_mlkem512,0.10
47,x25519_mlkem512,0.10
48,x25519_mlkem512,0.11
49,x25519_mlkem512,0.11
50,x25519_mlkem512,0.10
51,x25519_mlkem512,0.11
52,x25519_mlkem512,0.11
53,x25519_mlkem512,0.11
54,x25519_mlkem512,0.10
55,x25519_mlkem512,0.10
56,x25519_mlkem512,0.10
57,x25519_mlkem512,0.10
58,x25519_mlkem512,0.10
59,x25519_mlkem512,0.10
60,x25519_mlkem512,0.10
61,x25519_mlkem512,0.10
62,x25519_mlkem512,0.10
63,x25519_mlkem512,0.10
64,x25519_mlkem512,0.10
65,x25519_mlkem512,0.10
66,x25519_mlkem512,0.11
67,x25519_mlkem512,0.11
68,x25519_mlkem512,0.10
69,x25519_mlkem512,0.10
70,x25519_mlkem512,0.10
71,x25519_mlkem512,0.11
72,x25519_mlkem512,0.10
73,x25519_mlkem512,0.10
74,x25519_mlkem512,0.10
75,x25519_mlkem512,0.10
76,x25519_mlkem512,0.10
77,x25519_mlkem512,0.11
78,x25519_mlkem512,0.10
79,x25519_mlkem512,0.10
80,x25519_mlkem512,0.10
81,x25519_mlkem512,0.10
82,x25519_mlkem512,0.11
83,x25519_mlkem512,0.11
84,x25519_mlkem512,0.10
85,x25519_mlkem512,0.10
86,x25519_mlkem512,0.10
87,x25519_mlkem512,0.10
88,x25519_mlkem512,0.10
89,x25519_mlkem512,0.10
90,x25519_mlkem512,0.10
91,x25519_mlkem512,0.10
92,x25519_mlkem512,0.10
93,x25519_mlkem512,0.10
94,x25519_mlkem512,0.10
95,x25519_mlkem512,0.10
96,x25519_mlkem512,0.10
97,x25519_mlkem512,0.11
98,x25519_mlkem512,0.10
99,x25519_mlkem512,0.10
100,x25519_mlkem512,0.10
