Iteration, Algorithm, Time(s)
1,x448,0.10
2,x448,0.10
3,x448,0.10
4,x448,0.10
5,x448,0.10
6,x448,0.10
7,x448,0.09
8,x448,0.10
9,x448,0.10
10,x448,0.10
11,x448,0.10
12,x448,0.10
13,x448,0.10
14,x448,0.09
15,x448,0.10
16,x448,0.10
17,x448,0.10
18,x448,0.10
19,x448,0.10
20,x448,0.10
21,x448,0.10
22,x448,0.10
23,x448,0.10
24,x448,0.10
25,x448,0.10
26,x448,0.10
27,x448,0.10
28,x448,0.10
29,x448,0.10
30,x448,0.10
31,x448,0.10
32,x448,0.10
33,x448,0.10
34,x448,0.10
35,x448,0.10
36,x448,0.10
37,x448,0.10
38,x448,0.10
39,x448,0.09
40,x448,0.09
41,x448,0.10
42,x448,0.10
43,x448,0.10
44,x448,0.10
45,x448,0.10
46,x448,0.10
47,x448,0.10
48,x448,0.10
49,x448,0.10
50,x448,0.10
51,x448,0.10
52,x448,0.10
53,x448,0.10
54,x448,0.10
55,x448,0.10
56,x448,0.09
57,x448,0.09
58,x448,0.09
59,x448,0.09
60,x448,0.10
61,x448,0.10
62,x448,0.10
63,x448,0.10
64,x448,0.10
65,x448,0.10
66,x448,0.14
67,x448,0.10
68,x448,0.10
69,x448,0.10
70,x448,0.10
71,x448,0.10
72,x448,0.10
73,x448,0.10
74,x448,0.10
75,x448,0.11
76,x448,0.10
77,x448,0.10
78,x448,0.10
79,x448,0.10
80,x448,0.10
81,x448,0.10
82,x448,0.10
83,x448,0.09
84,x448,0.09
85,x448,0.09
86,x448,0.10
87,x448,0.10
88,x448,0.10
89,x448,0.10
90,x448,0.09
91,x448,0.10
92,x448,0.10
93,x448,0.10
94,x448,0.10
95,x448,0.10
96,x448,0.11
97,x448,0.10
98,x448,0.10
99,x448,0.10
100,x448,0.09
