Iteration, Algorithm, Time(s)
1,x448_bikel3,0.13
2,x448_bikel3,0.13
3,x448_bikel3,0.13
4,x448_bikel3,0.13
5,x448_bikel3,0.13
6,x448_bikel3,0.13
7,x448_bikel3,0.13
8,x448_bikel3,0.13
9,x448_bikel3,0.13
10,x448_bikel3,0.13
11,x448_bikel3,0.13
12,x448_bikel3,0.13
13,x448_bikel3,0.13
14,x448_bikel3,0.12
15,x448_bikel3,0.13
16,x448_bikel3,0.13
17,x448_bikel3,0.13
18,x448_bikel3,0.13
19,x448_bikel3,0.13
20,x448_bikel3,0.13
21,x448_bikel3,0.12
22,x448_bikel3,0.13
23,x448_bikel3,0.13
24,x448_bikel3,0.13
25,x448_bikel3,0.13
26,x448_bikel3,0.13
27,x448_bikel3,0.13
28,x448_bikel3,0.13
29,x448_bikel3,0.13
30,x448_bikel3,0.13
31,x448_bikel3,0.13
32,x448_bikel3,0.13
33,x448_bikel3,0.13
34,x448_bikel3,0.13
35,x448_bikel3,0.13
36,x448_bikel3,0.13
37,x448_bikel3,0.13
38,x448_bikel3,0.13
39,x448_bikel3,0.13
40,x448_bikel3,0.13
41,x448_bikel3,0.13
42,x448_bikel3,0.13
43,x448_bikel3,0.13
44,x448_bikel3,0.13
45,x448_bikel3,0.13
46,x448_bikel3,0.13
47,x448_bikel3,0.12
48,x448_bikel3,0.12
49,x448_bikel3,0.13
50,x448_bikel3,0.12
51,x448_bikel3,0.13
52,x448_bikel3,0.13
53,x448_bikel3,0.13
54,x448_bikel3,0.13
55,x448_bikel3,0.13
56,x448_bikel3,0.13
57,x448_bikel3,0.13
58,x448_bikel3,0.13
59,x448_bikel3,0.13
60,x448_bikel3,0.13
61,x448_bikel3,0.13
62,x448_bikel3,0.13
63,x448_bikel3,0.13
64,x448_bikel3,0.13
65,x448_bikel3,0.13
66,x448_bikel3,0.13
67,x448_bikel3,0.13
68,x448_bikel3,0.13
69,x448_bikel3,0.13
70,x448_bikel3,0.13
71,x448_bikel3,0.13
72,x448_bikel3,0.13
73,x448_bikel3,0.13
74,x448_bikel3,0.12
75,x448_bikel3,0.13
76,x448_bikel3,0.13
77,x448_bikel3,0.13
78,x448_bikel3,0.13
79,x448_bikel3,0.13
80,x448_bikel3,0.13
81,x448_bikel3,0.13
82,x448_bikel3,0.13
83,x448_bikel3,0.13
84,x448_bikel3,0.13
85,x448_bikel3,0.13
86,x448_bikel3,0.13
87,x448_bikel3,0.13
88,x448_bikel3,0.13
89,x448_bikel3,0.13
90,x448_bikel3,0.13
91,x448_bikel3,0.13
92,x448_bikel3,0.13
93,x448_bikel3,0.13
94,x448_bikel3,0.13
95,x448_bikel3,0.13
96,x448_bikel3,0.12
97,x448_bikel3,0.13
98,x448_bikel3,0.13
99,x448_bikel3,0.13
100,x448_bikel3,0.13
