Iteration, Algorithm, Time(s)
1,x448_frodo976aes,0.23
2,x448_frodo976aes,0.24
3,x448_frodo976aes,0.24
4,x448_frodo976aes,0.22
5,x448_frodo976aes,0.23
6,x448_frodo976aes,0.23
7,x448_frodo976aes,0.23
8,x448_frodo976aes,0.22
9,x448_frodo976aes,0.22
10,x448_frodo976aes,0.23
11,x448_frodo976aes,0.23
12,x448_frodo976aes,0.24
13,x448_frodo976aes,0.24
14,x448_frodo976aes,0.24
15,x448_frodo976aes,0.23
16,x448_frodo976aes,0.23
17,x448_frodo976aes,0.22
18,x448_frodo976aes,0.22
19,x448_frodo976aes,0.24
20,x448_frodo976aes,0.23
21,x448_frodo976aes,0.22
22,x448_frodo976aes,0.23
23,x448_frodo976aes,0.23
24,x448_frodo976aes,0.23
25,x448_frodo976aes,0.23
26,x448_frodo976aes,0.24
27,x448_frodo976aes,0.22
28,x448_frodo976aes,0.23
29,x448_frodo976aes,0.22
30,x448_frodo976aes,0.23
31,x448_frodo976aes,0.23
32,x448_frodo976aes,0.23
33,x448_frodo976aes,0.23
34,x448_frodo976aes,0.23
35,x448_frodo976aes,0.23
36,x448_frodo976aes,0.24
37,x448_frodo976aes,0.23
38,x448_frodo976aes,0.24
39,x448_frodo976aes,0.23
40,x448_frodo976aes,0.22
41,x448_frodo976aes,0.23
42,x448_frodo976aes,0.24
43,x448_frodo976aes,0.22
44,x448_frodo976aes,0.23
45,x448_frodo976aes,0.22
46,x448_frodo976aes,0.23
47,x448_frodo976aes,0.23
48,x448_frodo976aes,0.23
49,x448_frodo976aes,0.24
50,x448_frodo976aes,0.24
51,x448_frodo976aes,0.23
52,x448_frodo976aes,0.22
53,x448_frodo976aes,0.24
54,x448_frodo976aes,0.24
55,x448_frodo976aes,0.23
56,x448_frodo976aes,0.24
57,x448_frodo976aes,0.24
58,x448_frodo976aes,0.23
59,x448_frodo976aes,0.23
60,x448_frodo976aes,0.23
61,x448_frodo976aes,0.23
62,x448_frodo976aes,0.23
63,x448_frodo976aes,0.24
64,x448_frodo976aes,0.23
65,x448_frodo976aes,0.23
66,x448_frodo976aes,0.23
67,x448_frodo976aes,0.23
68,x448_frodo976aes,0.24
69,x448_frodo976aes,0.24
70,x448_frodo976aes,0.24
71,x448_frodo976aes,0.24
72,x448_frodo976aes,0.24
73,x448_frodo976aes,0.23
74,x448_frodo976aes,0.22
75,x448_frodo976aes,0.23
76,x448_frodo976aes,0.22
77,x448_frodo976aes,0.22
78,x448_frodo976aes,0.23
79,x448_frodo976aes,0.24
80,x448_frodo976aes,0.23
81,x448_frodo976aes,0.23
82,x448_frodo976aes,0.24
83,x448_frodo976aes,0.23
84,x448_frodo976aes,0.23
85,x448_frodo976aes,0.23
86,x448_frodo976aes,0.24
87,x448_frodo976aes,0.24
88,x448_frodo976aes,0.24
89,x448_frodo976aes,0.23
90,x448_frodo976aes,0.22
91,x448_frodo976aes,0.24
92,x448_frodo976aes,0.24
93,x448_frodo976aes,0.23
94,x448_frodo976aes,0.23
95,x448_frodo976aes,0.23
96,x448_frodo976aes,0.22
97,x448_frodo976aes,0.24
98,x448_frodo976aes,0.23
99,x448_frodo976aes,0.22
100,x448_frodo976aes,0.23
