Iteration, Algorithm, Time(s)
1,x448_frodo976shake,0.16
2,x448_frodo976shake,0.16
3,x448_frodo976shake,0.15
4,x448_frodo976shake,0.15
5,x448_frodo976shake,0.16
6,x448_frodo976shake,0.15
7,x448_frodo976shake,0.15
8,x448_frodo976shake,0.15
9,x448_frodo976shake,0.15
10,x448_frodo976shake,0.16
11,x448_frodo976shake,0.16
12,x448_frodo976shake,0.15
13,x448_frodo976shake,0.15
14,x448_frodo976shake,0.16
15,x448_frodo976shake,0.16
16,x448_frodo976shake,0.16
17,x448_frodo976shake,0.15
18,x448_frodo976shake,0.16
19,x448_frodo976shake,0.15
20,x448_frodo976shake,0.16
21,x448_frodo976shake,0.16
22,x448_frodo976shake,0.15
23,x448_frodo976shake,0.15
24,x448_frodo976shake,0.15
25,x448_frodo976shake,0.16
26,x448_frodo976shake,0.16
27,x448_frodo976shake,0.16
28,x448_frodo976shake,0.16
29,x448_frodo976shake,0.16
30,x448_frodo976shake,0.15
31,x448_frodo976shake,0.16
32,x448_frodo976shake,0.16
33,x448_frodo976shake,0.15
34,x448_frodo976shake,0.15
35,x448_frodo976shake,0.15
36,x448_frodo976shake,0.15
37,x448_frodo976shake,0.16
38,x448_frodo976shake,0.16
39,x448_frodo976shake,0.15
40,x448_frodo976shake,0.16
41,x448_frodo976shake,0.15
42,x448_frodo976shake,0.16
43,x448_frodo976shake,0.16
44,x448_frodo976shake,0.16
45,x448_frodo976shake,0.16
46,x448_frodo976shake,0.15
47,x448_frodo976shake,0.15
48,x448_frodo976shake,0.16
49,x448_frodo976shake,0.15
50,x448_frodo976shake,0.14
51,x448_frodo976shake,0.16
52,x448_frodo976shake,0.15
53,x448_frodo976shake,0.16
54,x448_frodo976shake,0.15
55,x448_frodo976shake,0.15
56,x448_frodo976shake,0.14
57,x448_frodo976shake,0.15
58,x448_frodo976shake,0.16
59,x448_frodo976shake,0.15
60,x448_frodo976shake,0.16
61,x448_frodo976shake,0.16
62,x448_frodo976shake,0.16
63,x448_frodo976shake,0.16
64,x448_frodo976shake,0.16
65,x448_frodo976shake,0.16
66,x448_frodo976shake,0.15
67,x448_frodo976shake,0.15
68,x448_frodo976shake,0.15
69,x448_frodo976shake,0.16
70,x448_frodo976shake,0.15
71,x448_frodo976shake,0.15
72,x448_frodo976shake,0.15
73,x448_frodo976shake,0.15
74,x448_frodo976shake,0.15
75,x448_frodo976shake,0.15
76,x448_frodo976shake,0.16
77,x448_frodo976shake,0.15
78,x448_frodo976shake,0.15
79,x448_frodo976shake,0.16
80,x448_frodo976shake,0.15
81,x448_frodo976shake,0.15
82,x448_frodo976shake,0.16
83,x448_frodo976shake,0.16
84,x448_frodo976shake,0.15
85,x448_frodo976shake,0.15
86,x448_frodo976shake,0.16
87,x448_frodo976shake,0.15
88,x448_frodo976shake,0.15
89,x448_frodo976shake,0.14
90,x448_frodo976shake,0.15
91,x448_frodo976shake,0.15
92,x448_frodo976shake,0.15
93,x448_frodo976shake,0.15
94,x448_frodo976shake,0.15
95,x448_frodo976shake,0.16
96,x448_frodo976shake,0.15
97,x448_frodo976shake,0.16
98,x448_frodo976shake,0.16
99,x448_frodo976shake,0.15
100,x448_frodo976shake,0.14
