Iteration, Algorithm, Time(s)
1,MLKEM768,0.33
2,MLKEM768,0.33
3,MLKEM768,0.33
4,MLKEM768,0.33
5,MLKEM768,0.33
6,MLKEM768,0.33
7,MLKEM768,0.33
8,MLKEM768,0.33
9,MLKEM768,0.34
10,MLKEM768,0.33
11,MLKEM768,0.33
12,MLKEM768,0.33
13,MLKEM768,0.33
14,MLKEM768,0.33
15,MLKEM768,0.35
16,MLKEM768,0.39
17,MLKEM768,0.37
18,MLKEM768,0.35
19,MLKEM768,0.35
20,MLKEM768,0.35
21,MLKEM768,0.37
22,MLKEM768,0.37
23,MLKEM768,0.38
24,MLKEM768,0.34
25,MLKEM768,0.33
26,MLKEM768,0.33
27,MLKEM768,0.33
28,MLKEM768,0.33
29,MLKEM768,0.33
30,MLKEM768,0.33
31,MLKEM768,0.33
32,MLKEM768,0.33
33,MLKEM768,0.33
34,MLKEM768,0.33
35,MLKEM768,0.33
36,MLKEM768,0.33
37,MLKEM768,0.33
38,MLKEM768,0.33
39,MLKEM768,0.33
40,MLKEM768,0.33
41,MLKEM768,0.34
42,MLKEM768,0.33
43,MLKEM768,0.33
44,MLKEM768,0.33
45,MLKEM768,0.33
46,MLKEM768,0.33
47,MLKEM768,0.33
48,MLKEM768,0.33
49,MLKEM768,0.33
50,MLKEM768,0.33
51,MLKEM768,0.33
52,MLKEM768,0.33
53,MLKEM768,0.33
54,MLKEM768,0.33
55,MLKEM768,0.33
56,MLKEM768,0.33
57,MLKEM768,0.33
58,MLKEM768,0.33
59,MLKEM768,0.33
60,MLKEM768,0.33
61,MLKEM768,0.33
62,MLKEM768,0.33
63,MLKEM768,0.33
64,MLKEM768,0.33
65,MLKEM768,0.33
66,MLKEM768,0.33
67,MLKEM768,0.33
68,MLKEM768,0.33
69,MLKEM768,0.33
70,MLKEM768,0.33
71,MLKEM768,0.33
72,MLKEM768,0.33
73,MLKEM768,0.34
74,MLKEM768,0.33
75,MLKEM768,0.33
76,MLKEM768,0.33
77,MLKEM768,0.33
78,MLKEM768,0.33
79,MLKEM768,0.33
80,MLKEM768,0.33
81,MLKEM768,0.33
82,MLKEM768,0.33
83,MLKEM768,0.33
84,MLKEM768,0.33
85,MLKEM768,0.33
86,MLKEM768,0.33
87,MLKEM768,0.33
88,MLKEM768,0.33
89,MLKEM768,0.33
90,MLKEM768,0.33
91,MLKEM768,0.33
92,MLKEM768,0.33
93,MLKEM768,0.33
94,MLKEM768,0.33
95,MLKEM768,0.33
96,MLKEM768,0.33
97,MLKEM768,0.33
98,MLKEM768,0.33
99,MLKEM768,0.33
100,MLKEM768,0.33
