Iteration, Algorithm, Time(s)
1,P-521,0.30
2,P-521,0.29
3,P-521,0.29
4,P-521,0.29
5,P-521,0.29
6,P-521,0.30
7,P-521,0.32
8,P-521,0.32
9,P-521,0.30
10,P-521,0.32
11,P-521,0.31
12,P-521,0.34
13,P-521,0.32
14,P-521,0.34
15,P-521,0.32
16,P-521,0.34
17,P-521,0.34
18,P-521,0.34
19,P-521,0.34
20,P-521,0.34
21,P-521,0.34
22,P-521,0.34
23,P-521,0.34
24,P-521,0.34
25,P-521,0.34
26,P-521,0.34
27,P-521,0.31
28,P-521,0.34
29,P-521,0.34
30,P-521,0.34
31,P-521,0.32
32,P-521,0.34
33,P-521,0.35
34,P-521,0.34
35,P-521,0.34
36,P-521,0.34
37,P-521,0.34
38,P-521,0.34
39,P-521,0.34
40,P-521,0.34
41,P-521,0.34
42,P-521,0.34
43,P-521,0.34
44,P-521,0.34
45,P-521,0.34
46,P-521,0.34
47,P-521,0.34
48,P-521,0.34
49,P-521,0.34
50,P-521,0.34
51,P-521,0.34
52,P-521,0.34
53,P-521,0.34
54,P-521,0.34
55,P-521,0.34
56,P-521,0.34
57,P-521,0.34
58,P-521,0.34
59,P-521,0.34
60,P-521,0.34
61,P-521,0.34
62,P-521,0.34
63,P-521,0.34
64,P-521,0.34
65,P-521,0.35
66,P-521,0.34
67,P-521,0.34
68,P-521,0.34
69,P-521,0.34
70,P-521,0.34
71,P-521,0.34
72,P-521,0.34
73,P-521,0.34
74,P-521,0.34
75,P-521,0.34
76,P-521,0.34
77,P-521,0.34
78,P-521,0.34
79,P-521,0.34
80,P-521,0.34
81,P-521,0.34
82,P-521,0.34
83,P-521,0.34
84,P-521,0.34
85,P-521,0.34
86,P-521,0.34
87,P-521,0.34
88,P-521,0.34
89,P-521,0.34
90,P-521,0.34
91,P-521,0.34
92,P-521,0.34
93,P-521,0.34
94,P-521,0.34
95,P-521,0.34
96,P-521,0.34
97,P-521,0.35
98,P-521,0.34
99,P-521,0.34
100,P-521,0.34
