Iteration, Algorithm, Time(s)
1,SecP384r1MLKEM1024,0.34
2,SecP384r1MLKEM1024,0.34
3,SecP384r1MLKEM1024,0.34
4,SecP384r1MLKEM1024,0.34
5,SecP384r1MLKEM1024,0.34
6,SecP384r1MLKEM1024,0.34
7,SecP384r1MLKEM1024,0.34
8,SecP384r1MLKEM1024,0.34
9,SecP384r1MLKEM1024,0.34
10,SecP384r1MLKEM1024,0.34
11,SecP384r1MLKEM1024,0.34
12,SecP384r1MLKEM1024,0.34
13,SecP384r1MLKEM1024,0.34
14,SecP384r1MLKEM1024,0.34
15,SecP384r1MLKEM1024,0.34
16,SecP384r1MLKEM1024,0.34
17,SecP384r1MLKEM1024,0.34
18,SecP384r1MLKEM1024,0.34
19,SecP384r1MLKEM1024,0.34
20,SecP384r1MLKEM1024,0.34
21,SecP384r1MLKEM1024,0.34
22,SecP384r1MLKEM1024,0.34
23,SecP384r1MLKEM1024,0.34
24,SecP384r1MLKEM1024,0.34
25,SecP384r1MLKEM1024,0.35
26,SecP384r1MLKEM1024,0.34
27,SecP384r1MLKEM1024,0.34
28,SecP384r1MLKEM1024,0.34
29,SecP384r1MLKEM1024,0.34
30,SecP384r1MLKEM1024,0.34
31,SecP384r1MLKEM1024,0.34
32,SecP384r1MLKEM1024,0.34
33,SecP384r1MLKEM1024,0.34
34,SecP384r1MLKEM1024,0.34
35,SecP384r1MLKEM1024,0.34
36,SecP384r1MLKEM1024,0.34
37,SecP384r1MLKEM1024,0.34
38,SecP384r1MLKEM1024,0.34
39,SecP384r1MLKEM1024,0.34
40,SecP384r1MLKEM1024,0.34
41,SecP384r1MLKEM1024,0.34
42,SecP384r1MLKEM1024,0.34
43,SecP384r1MLKEM1024,0.34
44,SecP384r1MLKEM1024,0.34
45,SecP384r1MLKEM1024,0.34
46,SecP384r1MLKEM1024,0.34
47,SecP384r1MLKEM1024,0.34
48,SecP384r1MLKEM1024,0.34
49,SecP384r1MLKEM1024,0.34
50,SecP384r1MLKEM1024,0.34
51,SecP384r1MLKEM1024,0.34
52,SecP384r1MLKEM1024,0.34
53,SecP384r1MLKEM1024,0.34
54,SecP384r1MLKEM1024,0.34
55,SecP384r1MLKEM1024,0.34
56,SecP384r1MLKEM1024,0.34
57,SecP384r1MLKEM1024,0.35
58,SecP384r1MLKEM1024,0.34
59,SecP384r1MLKEM1024,0.34
60,SecP384r1MLKEM1024,0.34
61,SecP384r1MLKEM1024,0.34
62,SecP384r1MLKEM1024,0.34
63,SecP384r1MLKEM1024,0.34
64,SecP384r1MLKEM1024,0.34
65,SecP384r1MLKEM1024,0.34
66,SecP384r1MLKEM1024,0.34
67,SecP384r1MLKEM1024,0.34
68,SecP384r1MLKEM1024,0.34
69,SecP384r1MLKEM1024,0.34
70,SecP384r1MLKEM1024,0.34
71,SecP384r1MLKEM1024,0.34
72,SecP384r1MLKEM1024,0.34
73,SecP384r1MLKEM1024,0.34
74,SecP384r1MLKEM1024,0.34
75,SecP384r1MLKEM1024,0.34
76,SecP384r1MLKEM1024,0.34
77,SecP384r1MLKEM1024,0.34
78,SecP384r1MLKEM1024,0.34
79,SecP384r1MLKEM1024,0.34
80,SecP384r1MLKEM1024,0.34
81,SecP384r1MLKEM1024,0.34
82,SecP384r1MLKEM1024,0.34
83,SecP384r1MLKEM1024,0.34
84,SecP384r1MLKEM1024,0.34
85,SecP384r1MLKEM1024,0.34
86,SecP384r1MLKEM1024,0.34
87,SecP384r1MLKEM1024,0.34
88,SecP384r1MLKEM1024,0.35
89,SecP384r1MLKEM1024,0.35
90,SecP384r1MLKEM1024,0.34
91,SecP384r1MLKEM1024,0.34
92,SecP384r1MLKEM1024,0.34
93,SecP384r1MLKEM1024,0.34
94,SecP384r1MLKEM1024,0.34
95,SecP384r1MLKEM1024,0.34
96,SecP384r1MLKEM1024,0.34
97,SecP384r1MLKEM1024,0.34
98,SecP384r1MLKEM1024,0.34
99,SecP384r1MLKEM1024,0.34
100,SecP384r1MLKEM1024,0.34
