Iteration, Algorithm, Time(s)
1,X25519MLKEM768,0.33
2,X25519MLKEM768,0.33
3,X25519MLKEM768,0.33
4,X25519MLKEM768,0.33
5,X25519MLKEM768,0.33
6,X25519MLKEM768,0.33
7,X25519MLKEM768,0.33
8,X25519MLKEM768,0.33
9,X25519MLKEM768,0.33
10,X25519MLKEM768,0.33
11,X25519MLKEM768,0.33
12,X25519MLKEM768,0.33
13,X25519MLKEM768,0.33
14,X25519MLKEM768,0.33
15,X25519MLKEM768,0.33
16,X25519MLKEM768,0.33
17,X25519MLKEM768,0.33
18,X25519MLKEM768,0.33
19,X25519MLKEM768,0.33
20,X25519MLKEM768,0.33
21,X25519MLKEM768,0.33
22,X25519MLKEM768,0.33
23,X25519MLKEM768,0.33
24,X25519MLKEM768,0.33
25,X25519MLKEM768,0.33
26,X25519MLKEM768,0.33
27,X25519MLKEM768,0.33
28,X25519MLKEM768,0.33
29,X25519MLKEM768,0.34
30,X25519MLKEM768,0.33
31,X25519MLKEM768,0.33
32,X25519MLKEM768,0.33
33,X25519MLKEM768,0.33
34,X25519MLKEM768,0.33
35,X25519MLKEM768,0.33
36,X25519MLKEM768,0.33
37,X25519MLKEM768,0.33
38,X25519MLKEM768,0.33
39,X25519MLKEM768,0.33
40,X25519MLKEM768,0.33
41,X25519MLKEM768,0.33
42,X25519MLKEM768,0.33
43,X25519MLKEM768,0.33
44,X25519MLKEM768,0.33
45,X25519MLKEM768,0.33
46,X25519MLKEM768,0.33
47,X25519MLKEM768,0.33
48,X25519MLKEM768,0.33
49,X25519MLKEM768,0.33
50,X25519MLKEM768,0.33
51,X25519MLKEM768,0.33
52,X25519MLKEM768,0.33
53,X25519MLKEM768,0.33
54,X25519MLKEM768,0.33
55,X25519MLKEM768,0.33
56,X25519MLKEM768,0.33
57,X25519MLKEM768,0.33
58,X25519MLKEM768,0.33
59,X25519MLKEM768,0.33
60,X25519MLKEM768,0.33
61,X25519MLKEM768,0.34
62,X25519MLKEM768,0.33
63,X25519MLKEM768,0.33
64,X25519MLKEM768,0.33
65,X25519MLKEM768,0.33
66,X25519MLKEM768,0.33
67,X25519MLKEM768,0.33
68,X25519MLKEM768,0.33
69,X25519MLKEM768,0.33
70,X25519MLKEM768,0.33
71,X25519MLKEM768,0.33
72,X25519MLKEM768,0.33
73,X25519MLKEM768,0.33
74,X25519MLKEM768,0.33
75,X25519MLKEM768,0.33
76,X25519MLKEM768,0.33
77,X25519MLKEM768,0.33
78,X25519MLKEM768,0.33
79,X25519MLKEM768,0.33
80,X25519MLKEM768,0.33
81,X25519MLKEM768,0.33
82,X25519MLKEM768,0.33
83,X25519MLKEM768,0.33
84,X25519MLKEM768,0.33
85,X25519MLKEM768,0.33
86,X25519MLKEM768,0.33
87,X25519MLKEM768,0.33
88,X25519MLKEM768,0.33
89,X25519MLKEM768,0.33
90,X25519MLKEM768,0.33
91,X25519MLKEM768,0.33
92,X25519MLKEM768,0.33
93,X25519MLKEM768,0.34
94,X25519MLKEM768,0.33
95,X25519MLKEM768,0.33
96,X25519MLKEM768,0.33
97,X25519MLKEM768,0.33
98,X25519MLKEM768,0.33
99,X25519MLKEM768,0.33
100,X25519MLKEM768,0.33
