Iteration, Algorithm, Time(s)
1,bikel3,1.30
2,bikel3,1.29
3,bikel3,1.29
4,bikel3,1.29
5,bikel3,1.29
6,bikel3,1.29
7,bikel3,1.29
8,bikel3,1.29
9,bikel3,1.29
10,bikel3,1.29
11,bikel3,1.29
12,bikel3,1.29
13,bikel3,1.29
14,bikel3,1.29
15,bikel3,1.29
16,bikel3,1.29
17,bikel3,1.29
18,bikel3,1.29
19,bikel3,1.29
20,bikel3,1.29
21,bikel3,1.29
22,bikel3,1.29
23,bikel3,1.29
24,bikel3,1.29
25,bikel3,1.29
26,bikel3,1.29
27,bikel3,1.29
28,bikel3,1.29
29,bikel3,1.29
30,bikel3,1.29
31,bikel3,1.29
32,bikel3,1.29
33,bikel3,1.29
34,bikel3,1.29
35,bikel3,1.29
36,bikel3,1.29
37,bikel3,1.29
38,bikel3,1.29
39,bikel3,1.29
40,bikel3,1.29
41,bikel3,1.29
42,bikel3,1.29
43,bikel3,1.29
44,bikel3,1.30
45,bikel3,1.29
46,bikel3,1.29
47,bikel3,1.29
48,bikel3,1.29
49,bikel3,1.29
50,bikel3,1.29
51,bikel3,1.29
52,bikel3,1.29
53,bikel3,1.29
54,bikel3,1.29
55,bikel3,1.29
56,bikel3,1.29
57,bikel3,1.29
58,bikel3,1.29
59,bikel3,1.29
60,bikel3,1.29
61,bikel3,1.29
62,bikel3,1.29
63,bikel3,1.29
64,bikel3,1.29
65,bikel3,1.29
66,bikel3,1.29
67,bikel3,1.29
68,bikel3,1.29
69,bikel3,1.29
70,bikel3,1.29
71,bikel3,1.29
72,bikel3,1.29
73,bikel3,1.29
74,bikel3,1.29
75,bikel3,1.29
76,bikel3,1.29
77,bikel3,1.29
78,bikel3,1.29
79,bikel3,1.29
80,bikel3,1.29
81,bikel3,1.29
82,bikel3,1.29
83,bikel3,1.29
84,bikel3,1.29
85,bikel3,1.29
86,bikel3,1.29
87,bikel3,1.29
88,bikel3,1.29
89,bikel3,1.29
90,bikel3,1.29
91,bikel3,1.29
92,bikel3,1.29
93,bikel3,1.29
94,bikel3,1.29
95,bikel3,1.29
96,bikel3,1.29
97,bikel3,1.29
98,bikel3,1.29
99,bikel3,1.29
100,bikel3,1.29
