Iteration, Algorithm, Time(s)
1,bp384_mlkem768,0.50
2,bp384_mlkem768,0.50
3,bp384_mlkem768,0.50
4,bp384_mlkem768,0.50
5,bp384_mlkem768,0.50
6,bp384_mlkem768,0.50
7,bp384_mlkem768,0.50
8,bp384_mlkem768,0.50
9,bp384_mlkem768,0.51
10,bp384_mlkem768,0.50
11,bp384_mlkem768,0.50
12,bp384_mlkem768,0.50
13,bp384_mlkem768,0.50
14,bp384_mlkem768,0.50
15,bp384_mlkem768,0.50
16,bp384_mlkem768,0.50
17,bp384_mlkem768,0.50
18,bp384_mlkem768,0.50
19,bp384_mlkem768,0.50
20,bp384_mlkem768,0.50
21,bp384_mlkem768,0.50
22,bp384_mlkem768,0.50
23,bp384_mlkem768,0.50
24,bp384_mlkem768,0.50
25,bp384_mlkem768,0.50
26,bp384_mlkem768,0.50
27,bp384_mlkem768,0.50
28,bp384_mlkem768,0.50
29,bp384_mlkem768,0.50
30,bp384_mlkem768,0.50
31,bp384_mlkem768,0.50
32,bp384_mlkem768,0.50
33,bp384_mlkem768,0.50
34,bp384_mlkem768,0.50
35,bp384_mlkem768,0.50
36,bp384_mlkem768,0.50
37,bp384_mlkem768,0.50
38,bp384_mlkem768,0.50
39,bp384_mlkem768,0.50
40,bp384_mlkem768,0.50
41,bp384_mlkem768,0.51
42,bp384_mlkem768,0.50
43,bp384_mlkem768,0.50
44,bp384_mlkem768,0.50
45,bp384_mlkem768,0.50
46,bp384_mlkem768,0.50
47,bp384_mlkem768,0.50
48,bp384_mlkem768,0.50
49,bp384_mlkem768,0.50
50,bp384_mlkem768,0.50
51,bp384_mlkem768,0.50
52,bp384_mlkem768,0.50
53,bp384_mlkem768,0.50
54,bp384_mlkem768,0.50
55,bp384_mlkem768,0.50
56,bp384_mlkem768,0.50
57,bp384_mlkem768,0.50
58,bp384_mlkem768,0.50
59,bp384_mlkem768,0.50
60,bp384_mlkem768,0.50
61,bp384_mlkem768,0.50
62,bp384_mlkem768,0.50
63,bp384_mlkem768,0.50
64,bp384_mlkem768,0.50
65,bp384_mlkem768,0.50
66,bp384_mlkem768,0.50
67,bp384_mlkem768,0.50
68,bp384_mlkem768,0.50
69,bp384_mlkem768,0.50
70,bp384_mlkem768,0.50
71,bp384_mlkem768,0.50
72,bp384_mlkem768,0.50
73,bp384_mlkem768,0.51
74,bp384_mlkem768,0.50
75,bp384_mlkem768,0.50
76,bp384_mlkem768,0.50
77,bp384_mlkem768,0.50
78,bp384_mlkem768,0.50
79,bp384_mlkem768,0.50
80,bp384_mlkem768,0.50
81,bp384_mlkem768,0.50
82,bp384_mlkem768,0.50
83,bp384_mlkem768,0.50
84,bp384_mlkem768,0.50
85,bp384_mlkem768,0.50
86,bp384_mlkem768,0.50
87,bp384_mlkem768,0.50
88,bp384_mlkem768,0.50
89,bp384_mlkem768,0.50
90,bp384_mlkem768,0.50
91,bp384_mlkem768,0.50
92,bp384_mlkem768,0.50
93,bp384_mlkem768,0.50
94,bp384_mlkem768,0.50
95,bp384_mlkem768,0.50
96,bp384_mlkem768,0.50
97,bp384_mlkem768,0.50
98,bp384_mlkem768,0.50
99,bp384_mlkem768,0.50
100,bp384_mlkem768,0.50
