Iteration, Algorithm, Time(s)
1,brainpoolP384r1tls13,0.36
2,brainpoolP384r1tls13,0.36
3,brainpoolP384r1tls13,0.36
4,brainpoolP384r1tls13,0.36
5,brainpoolP384r1tls13,0.36
6,brainpoolP384r1tls13,0.36
7,brainpoolP384r1tls13,0.36
8,brainpoolP384r1tls13,0.36
9,brainpoolP384r1tls13,0.37
10,brainpoolP384r1tls13,0.36
11,brainpoolP384r1tls13,0.36
12,brainpoolP384r1tls13,0.36
13,brainpoolP384r1tls13,0.36
14,brainpoolP384r1tls13,0.36
15,brainpoolP384r1tls13,0.36
16,brainpoolP384r1tls13,0.36
17,brainpoolP384r1tls13,0.36
18,brainpoolP384r1tls13,0.36
19,brainpoolP384r1tls13,0.36
20,brainpoolP384r1tls13,0.36
21,brainpoolP384r1tls13,0.36
22,brainpoolP384r1tls13,0.36
23,brainpoolP384r1tls13,0.37
24,brainpoolP384r1tls13,0.36
25,brainpoolP384r1tls13,0.36
26,brainpoolP384r1tls13,0.36
27,brainpoolP384r1tls13,0.36
28,brainpoolP384r1tls13,0.36
29,brainpoolP384r1tls13,0.36
30,brainpoolP384r1tls13,0.36
31,brainpoolP384r1tls13,0.36
32,brainpoolP384r1tls13,0.36
33,brainpoolP384r1tls13,0.36
34,brainpoolP384r1tls13,0.36
35,brainpoolP384r1tls13,0.36
36,brainpoolP384r1tls13,0.36
37,brainpoolP384r1tls13,0.36
38,brainpoolP384r1tls13,0.36
39,brainpoolP384r1tls13,0.36
40,brainpoolP384r1tls13,0.36
41,brainpoolP384r1tls13,0.37
42,brainpoolP384r1tls13,0.36
43,brainpoolP384r1tls13,0.36
44,brainpoolP384r1tls13,0.36
45,brainpoolP384r1tls13,0.36
46,brainpoolP384r1tls13,0.36
47,brainpoolP384r1tls13,0.36
48,brainpoolP384r1tls13,0.36
49,brainpoolP384r1tls13,0.36
50,brainpoolP384r1tls13,0.36
51,brainpoolP384r1tls13,0.36
52,brainpoolP384r1tls13,0.36
53,brainpoolP384r1tls13,0.36
54,brainpoolP384r1tls13,0.36
55,brainpoolP384r1tls13,0.36
56,brainpoolP384r1tls13,0.36
57,brainpoolP384r1tls13,0.36
58,brainpoolP384r1tls13,0.36
59,brainpoolP384r1tls13,0.36
60,brainpoolP384r1tls13,0.36
61,brainpoolP384r1tls13,0.36
62,brainpoolP384r1tls13,0.36
63,brainpoolP384r1tls13,0.36
64,brainpoolP384r1tls13,0.36
65,brainpoolP384r1tls13,0.36
66,brainpoolP384r1tls13,0.36
67,brainpoolP384r1tls13,0.36
68,brainpoolP384r1tls13,0.36
69,brainpoolP384r1tls13,0.36
70,brainpoolP384r1tls13,0.36
71,brainpoolP384r1tls13,0.36
72,brainpoolP384r1tls13,0.36
73,brainpoolP384r1tls13,0.37
74,brainpoolP384r1tls13,0.36
75,brainpoolP384r1tls13,0.36
76,brainpoolP384r1tls13,0.36
77,brainpoolP384r1tls13,0.36
78,brainpoolP384r1tls13,0.36
79,brainpoolP384r1tls13,0.36
80,brainpoolP384r1tls13,0.36
81,brainpoolP384r1tls13,0.36
82,brainpoolP384r1tls13,0.36
83,brainpoolP384r1tls13,0.36
84,brainpoolP384r1tls13,0.36
85,brainpoolP384r1tls13,0.36
86,brainpoolP384r1tls13,0.36
87,brainpoolP384r1tls13,0.36
88,brainpoolP384r1tls13,0.36
89,brainpoolP384r1tls13,0.36
90,brainpoolP384r1tls13,0.36
91,brainpoolP384r1tls13,0.36
92,brainpoolP384r1tls13,0.36
93,brainpoolP384r1tls13,0.36
94,brainpoolP384r1tls13,0.36
95,brainpoolP384r1tls13,0.36
96,brainpoolP384r1tls13,0.36
97,brainpoolP384r1tls13,0.36
98,brainpoolP384r1tls13,0.36
99,brainpoolP384r1tls13,0.36
100,brainpoolP384r1tls13,0.36
