Iteration, Algorithm, Time(s)
1,ffdhe8192,0.74
2,ffdhe8192,0.74
3,ffdhe8192,0.74
4,ffdhe8192,0.74
5,ffdhe8192,0.74
6,ffdhe8192,0.74
7,ffdhe8192,0.74
8,ffdhe8192,0.74
9,ffdhe8192,0.74
10,ffdhe8192,0.74
11,ffdhe8192,0.74
12,ffdhe8192,0.74
13,ffdhe8192,0.74
14,ffdhe8192,0.74
15,ffdhe8192,0.74
16,ffdhe8192,0.74
17,ffdhe8192,0.75
18,ffdhe8192,0.74
19,ffdhe8192,0.74
20,ffdhe8192,0.74
21,ffdhe8192,0.74
22,ffdhe8192,0.74
23,ffdhe8192,0.74
24,ffdhe8192,0.74
25,ffdhe8192,0.74
26,ffdhe8192,0.74
27,ffdhe8192,0.74
28,ffdhe8192,0.74
29,ffdhe8192,0.74
30,ffdhe8192,0.74
31,ffdhe8192,0.74
32,ffdhe8192,0.74
33,ffdhe8192,0.74
34,ffdhe8192,0.74
35,ffdhe8192,0.74
36,ffdhe8192,0.74
37,ffdhe8192,0.74
38,ffdhe8192,0.74
39,ffdhe8192,0.74
40,ffdhe8192,0.74
41,ffdhe8192,0.74
42,ffdhe8192,0.74
43,ffdhe8192,0.74
44,ffdhe8192,0.74
45,ffdhe8192,0.74
46,ffdhe8192,0.74
47,ffdhe8192,0.74
48,ffdhe8192,0.74
49,ffdhe8192,0.75
50,ffdhe8192,0.74
51,ffdhe8192,0.74
52,ffdhe8192,0.74
53,ffdhe8192,0.74
54,ffdhe8192,0.74
55,ffdhe8192,0.74
56,ffdhe8192,0.74
57,ffdhe8192,0.74
58,ffdhe8192,0.74
59,ffdhe8192,0.74
60,ffdhe8192,0.74
61,ffdhe8192,0.74
62,ffdhe8192,0.74
63,ffdhe8192,0.74
64,ffdhe8192,0.74
65,ffdhe8192,0.74
66,ffdhe8192,0.74
67,ffdhe8192,0.74
68,ffdhe8192,0.74
69,ffdhe8192,0.74
70,ffdhe8192,0.74
71,ffdhe8192,0.74
72,ffdhe8192,0.74
73,ffdhe8192,0.74
74,ffdhe8192,0.74
75,ffdhe8192,0.74
76,ffdhe8192,0.74
77,ffdhe8192,0.74
78,ffdhe8192,0.74
79,ffdhe8192,0.74
80,ffdhe8192,0.74
81,ffdhe8192,0.75
82,ffdhe8192,0.74
83,ffdhe8192,0.74
84,ffdhe8192,0.74
85,ffdhe8192,0.74
86,ffdhe8192,0.74
87,ffdhe8192,0.74
88,ffdhe8192,0.74
89,ffdhe8192,0.74
90,ffdhe8192,0.74
91,ffdhe8192,0.74
92,ffdhe8192,0.74
93,ffdhe8192,0.74
94,ffdhe8192,0.74
95,ffdhe8192,0.74
96,ffdhe8192,0.74
97,ffdhe8192,0.74
98,ffdhe8192,0.74
99,ffdhe8192,0.74
100,ffdhe8192,0.74
