Iteration, Algorithm, Time(s)
1,frodo640shake,0.37
2,frodo640shake,0.37
3,frodo640shake,0.37
4,frodo640shake,0.37
5,frodo640shake,0.37
6,frodo640shake,0.37
7,frodo640shake,0.37
8,frodo640shake,0.37
9,frodo640shake,0.37
10,frodo640shake,0.37
11,frodo640shake,0.37
12,frodo640shake,0.37
13,frodo640shake,0.37
14,frodo640shake,0.37
15,frodo640shake,0.37
16,frodo640shake,0.37
17,frodo640shake,0.37
18,frodo640shake,0.37
19,frodo640shake,0.38
20,frodo640shake,0.37
21,frodo640shake,0.38
22,frodo640shake,0.37
23,frodo640shake,0.38
24,frodo640shake,0.37
25,frodo640shake,0.37
26,frodo640shake,0.37
27,frodo640shake,0.37
28,frodo640shake,0.37
29,frodo640shake,0.37
30,frodo640shake,0.37
31,frodo640shake,0.37
32,frodo640shake,0.37
33,frodo640shake,0.37
34,frodo640shake,0.37
35,frodo640shake,0.37
36,frodo640shake,0.37
37,frodo640shake,0.37
38,frodo640shake,0.37
39,frodo640shake,0.37
40,frodo640shake,0.37
41,frodo640shake,0.37
42,frodo640shake,0.37
43,frodo640shake,0.37
44,frodo640shake,0.37
45,frodo640shake,0.37
46,frodo640shake,0.37
47,frodo640shake,0.37
48,frodo640shake,0.37
49,frodo640shake,0.37
50,frodo640shake,0.37
51,frodo640shake,0.37
52,frodo640shake,0.37
53,frodo640shake,0.38
54,frodo640shake,0.37
55,frodo640shake,0.37
56,frodo640shake,0.37
57,frodo640shake,0.37
58,frodo640shake,0.37
59,frodo640shake,0.37
60,frodo640shake,0.37
61,frodo640shake,0.37
62,frodo640shake,0.37
63,frodo640shake,0.37
64,frodo640shake,0.37
65,frodo640shake,0.37
66,frodo640shake,0.37
67,frodo640shake,0.37
68,frodo640shake,0.37
69,frodo640shake,0.37
70,frodo640shake,0.37
71,frodo640shake,0.37
72,frodo640shake,0.37
73,frodo640shake,0.37
74,frodo640shake,0.37
75,frodo640shake,0.37
76,frodo640shake,0.37
77,frodo640shake,0.37
78,frodo640shake,0.37
79,frodo640shake,0.37
80,frodo640shake,0.37
81,frodo640shake,0.37
82,frodo640shake,0.37
83,frodo640shake,0.37
84,frodo640shake,0.37
85,frodo640shake,0.38
86,frodo640shake,0.37
87,frodo640shake,0.37
88,frodo640shake,0.37
89,frodo640shake,0.37
90,frodo640shake,0.37
91,frodo640shake,0.37
92,frodo640shake,0.37
93,frodo640shake,0.37
94,frodo640shake,0.37
95,frodo640shake,0.37
96,frodo640shake,0.37
97,frodo640shake,0.37
98,frodo640shake,0.37
99,frodo640shake,0.37
100,frodo640shake,0.37
