Iteration, Algorithm, Time(s)
1,frodo976aes,0.49
2,frodo976aes,0.48
3,frodo976aes,0.48
4,frodo976aes,0.49
5,frodo976aes,0.48
6,frodo976aes,0.48
7,frodo976aes,0.49
8,frodo976aes,0.49
9,frodo976aes,0.49
10,frodo976aes,0.49
11,frodo976aes,0.48
12,frodo976aes,0.48
13,frodo976aes,0.49
14,frodo976aes,0.49
15,frodo976aes,0.49
16,frodo976aes,0.48
17,frodo976aes,0.49
18,frodo976aes,0.49
19,frodo976aes,0.49
20,frodo976aes,0.48
21,frodo976aes,0.49
22,frodo976aes,0.49
23,frodo976aes,0.49
24,frodo976aes,0.49
25,frodo976aes,0.49
26,frodo976aes,0.49
27,frodo976aes,0.48
28,frodo976aes,0.48
29,frodo976aes,0.49
30,frodo976aes,0.49
31,frodo976aes,0.49
32,frodo976aes,0.48
33,frodo976aes,0.48
34,frodo976aes,0.48
35,frodo976aes,0.48
36,frodo976aes,0.49
37,frodo976aes,0.49
38,frodo976aes,0.48
39,frodo976aes,0.48
40,frodo976aes,0.49
41,frodo976aes,0.49
42,frodo976aes,0.49
43,frodo976aes,0.48
44,frodo976aes,0.48
45,frodo976aes,0.48
46,frodo976aes,0.49
47,frodo976aes,0.49
48,frodo976aes,0.49
49,frodo976aes,0.49
50,frodo976aes,0.48
51,frodo976aes,0.49
52,frodo976aes,0.48
53,frodo976aes,0.48
54,frodo976aes,0.48
55,frodo976aes,0.48
56,frodo976aes,0.48
57,frodo976aes,0.49
58,frodo976aes,0.49
59,frodo976aes,0.49
60,frodo976aes,0.48
61,frodo976aes,0.49
62,frodo976aes,0.49
63,frodo976aes,0.49
64,frodo976aes,0.49
65,frodo976aes,0.49
66,frodo976aes,0.49
67,frodo976aes,0.49
68,frodo976aes,0.49
69,frodo976aes,0.49
70,frodo976aes,0.49
71,frodo976aes,0.49
72,frodo976aes,0.49
73,frodo976aes,0.48
74,frodo976aes,0.49
75,frodo976aes,0.48
76,frodo976aes,0.48
77,frodo976aes,0.49
78,frodo976aes,0.49
79,frodo976aes,0.49
80,frodo976aes,0.49
81,frodo976aes,0.49
82,frodo976aes,0.49
83,frodo976aes,0.49
84,frodo976aes,0.49
85,frodo976aes,0.49
86,frodo976aes,0.49
87,frodo976aes,0.49
88,frodo976aes,0.49
89,frodo976aes,0.49
90,frodo976aes,0.49
91,frodo976aes,0.48
92,frodo976aes,0.49
93,frodo976aes,0.48
94,frodo976aes,0.49
95,frodo976aes,0.49
96,frodo976aes,0.49
97,frodo976aes,0.49
98,frodo976aes,0.48
99,frodo976aes,0.49
100,frodo976aes,0.49
