Iteration, Algorithm, Time(s)
1,p256_frodo640aes,0.51
2,p256_frodo640aes,0.51
3,p256_frodo640aes,0.51
4,p256_frodo640aes,0.51
5,p256_frodo640aes,0.51
6,p256_frodo640aes,0.51
7,p256_frodo640aes,0.51
8,p256_frodo640aes,0.51
9,p256_frodo640aes,0.51
10,p256_frodo640aes,0.51
11,p256_frodo640aes,0.51
12,p256_frodo640aes,0.51
13,p256_frodo640aes,0.51
14,p256_frodo640aes,0.51
15,p256_frodo640aes,0.51
16,p256_frodo640aes,0.51
17,p256_frodo640aes,0.51
18,p256_frodo640aes,0.51
19,p256_frodo640aes,0.51
20,p256_frodo640aes,0.51
21,p256_frodo640aes,0.51
22,p256_frodo640aes,0.51
23,p256_frodo640aes,0.51
24,p256_frodo640aes,0.51
25,p256_frodo640aes,0.51
26,p256_frodo640aes,0.51
27,p256_frodo640aes,0.51
28,p256_frodo640aes,0.51
29,p256_frodo640aes,0.51
30,p256_frodo640aes,0.51
31,p256_frodo640aes,0.51
32,p256_frodo640aes,0.51
33,p256_frodo640aes,0.51
34,p256_frodo640aes,0.51
35,p256_frodo640aes,0.51
36,p256_frodo640aes,0.51
37,p256_frodo640aes,0.51
38,p256_frodo640aes,0.51
39,p256_frodo640aes,0.51
40,p256_frodo640aes,0.51
41,p256_frodo640aes,0.51
42,p256_frodo640aes,0.51
43,p256_frodo640aes,0.51
44,p256_frodo640aes,0.51
45,p256_frodo640aes,0.51
46,p256_frodo640aes,0.51
47,p256_frodo640aes,0.51
48,p256_frodo640aes,0.51
49,p256_frodo640aes,0.51
50,p256_frodo640aes,0.51
51,p256_frodo640aes,0.51
52,p256_frodo640aes,0.51
53,p256_frodo640aes,0.51
54,p256_frodo640aes,0.51
55,p256_frodo640aes,0.51
56,p256_frodo640aes,0.51
57,p256_frodo640aes,0.51
58,p256_frodo640aes,0.51
59,p256_frodo640aes,0.51
60,p256_frodo640aes,0.51
61,p256_frodo640aes,0.51
62,p256_frodo640aes,0.51
63,p256_frodo640aes,0.51
64,p256_frodo640aes,0.51
65,p256_frodo640aes,0.51
66,p256_frodo640aes,0.51
67,p256_frodo640aes,0.51
68,p256_frodo640aes,0.51
69,p256_frodo640aes,0.51
70,p256_frodo640aes,0.51
71,p256_frodo640aes,0.51
72,p256_frodo640aes,0.51
73,p256_frodo640aes,0.51
74,p256_frodo640aes,0.51
75,p256_frodo640aes,0.51
76,p256_frodo640aes,0.51
77,p256_frodo640aes,0.51
78,p256_frodo640aes,0.51
79,p256_frodo640aes,0.51
80,p256_frodo640aes,0.51
81,p256_frodo640aes,0.51
82,p256_frodo640aes,0.51
83,p256_frodo640aes,0.51
84,p256_frodo640aes,0.51
85,p256_frodo640aes,0.51
86,p256_frodo640aes,0.51
87,p256_frodo640aes,0.51
88,p256_frodo640aes,0.51
89,p256_frodo640aes,0.51
90,p256_frodo640aes,0.51
91,p256_frodo640aes,0.51
92,p256_frodo640aes,0.51
93,p256_frodo640aes,0.51
94,p256_frodo640aes,0.51
95,p256_frodo640aes,0.51
96,p256_frodo640aes,0.51
97,p256_frodo640aes,0.51
98,p256_frodo640aes,0.51
99,p256_frodo640aes,0.51
100,p256_frodo640aes,0.51
