Iteration, Algorithm, Time(s)
1,p521_bikel5,2.89
2,p521_bikel5,2.89
3,p521_bikel5,2.89
4,p521_bikel5,2.89
5,p521_bikel5,2.89
6,p521_bikel5,2.89
7,p521_bikel5,2.89
8,p521_bikel5,2.89
9,p521_bikel5,2.89
10,p521_bikel5,2.89
11,p521_bikel5,2.89
12,p521_bikel5,2.89
13,p521_bikel5,2.89
14,p521_bikel5,2.89
15,p521_bikel5,2.89
16,p521_bikel5,2.89
17,p521_bikel5,2.89
18,p521_bikel5,2.89
19,p521_bikel5,2.89
20,p521_bikel5,2.89
21,p521_bikel5,2.89
22,p521_bikel5,2.89
23,p521_bikel5,2.89
24,p521_bikel5,2.89
25,p521_bikel5,2.90
26,p521_bikel5,2.89
27,p521_bikel5,2.89
28,p521_bikel5,2.89
29,p521_bikel5,2.89
30,p521_bikel5,2.89
31,p521_bikel5,2.89
32,p521_bikel5,2.89
33,p521_bikel5,2.89
34,p521_bikel5,2.89
35,p521_bikel5,2.89
36,p521_bikel5,2.89
37,p521_bikel5,2.89
38,p521_bikel5,2.89
39,p521_bikel5,2.89
40,p521_bikel5,2.89
41,p521_bikel5,2.89
42,p521_bikel5,2.89
43,p521_bikel5,2.89
44,p521_bikel5,2.89
45,p521_bikel5,2.89
46,p521_bikel5,2.89
47,p521_bikel5,2.89
48,p521_bikel5,2.89
49,p521_bikel5,2.89
50,p521_bikel5,2.89
51,p521_bikel5,2.89
52,p521_bikel5,2.89
53,p521_bikel5,2.89
54,p521_bikel5,2.89
55,p521_bikel5,2.89
56,p521_bikel5,2.89
57,p521_bikel5,2.89
58,p521_bikel5,2.89
59,p521_bikel5,2.89
60,p521_bikel5,2.89
61,p521_bikel5,2.89
62,p521_bikel5,2.89
63,p521_bikel5,2.89
64,p521_bikel5,2.89
65,p521_bikel5,2.89
66,p521_bikel5,2.89
67,p521_bikel5,2.89
68,p521_bikel5,2.89
69,p521_bikel5,2.89
70,p521_bikel5,2.89
71,p521_bikel5,2.89
72,p521_bikel5,2.89
73,p521_bikel5,2.89
74,p521_bikel5,2.89
75,p521_bikel5,2.89
76,p521_bikel5,2.89
77,p521_bikel5,2.89
78,p521_bikel5,2.89
79,p521_bikel5,2.89
80,p521_bikel5,2.89
81,p521_bikel5,2.89
82,p521_bikel5,2.89
83,p521_bikel5,2.89
84,p521_bikel5,2.89
85,p521_bikel5,2.89
86,p521_bikel5,2.89
87,p521_bikel5,2.89
88,p521_bikel5,2.89
89,p521_bikel5,2.89
90,p521_bikel5,2.89
91,p521_bikel5,2.89
92,p521_bikel5,2.89
93,p521_bikel5,2.89
94,p521_bikel5,2.89
95,p521_bikel5,2.89
96,p521_bikel5,2.89
97,p521_bikel5,2.89
98,p521_bikel5,2.89
99,p521_bikel5,2.89
100,p521_bikel5,2.89
