Iteration, Algorithm, Time(s)
1,p521_frodo1344shake,0.66
2,p521_frodo1344shake,0.66
3,p521_frodo1344shake,0.66
4,p521_frodo1344shake,0.66
5,p521_frodo1344shake,0.66
6,p521_frodo1344shake,0.66
7,p521_frodo1344shake,0.66
8,p521_frodo1344shake,0.66
9,p521_frodo1344shake,0.66
10,p521_frodo1344shake,0.66
11,p521_frodo1344shake,0.66
12,p521_frodo1344shake,0.66
13,p521_frodo1344shake,0.66
14,p521_frodo1344shake,0.66
15,p521_frodo1344shake,0.66
16,p521_frodo1344shake,0.66
17,p521_frodo1344shake,0.66
18,p521_frodo1344shake,0.66
19,p521_frodo1344shake,0.66
20,p521_frodo1344shake,0.66
21,p521_frodo1344shake,0.66
22,p521_frodo1344shake,0.66
23,p521_frodo1344shake,0.66
24,p521_frodo1344shake,0.67
25,p521_frodo1344shake,0.66
26,p521_frodo1344shake,0.66
27,p521_frodo1344shake,0.66
28,p521_frodo1344shake,0.66
29,p521_frodo1344shake,0.66
30,p521_frodo1344shake,0.66
31,p521_frodo1344shake,0.66
32,p521_frodo1344shake,0.66
33,p521_frodo1344shake,0.66
34,p521_frodo1344shake,0.66
35,p521_frodo1344shake,0.66
36,p521_frodo1344shake,0.66
37,p521_frodo1344shake,0.66
38,p521_frodo1344shake,0.66
39,p521_frodo1344shake,0.66
40,p521_frodo1344shake,0.66
41,p521_frodo1344shake,0.67
42,p521_frodo1344shake,0.66
43,p521_frodo1344shake,0.66
44,p521_frodo1344shake,0.66
45,p521_frodo1344shake,0.66
46,p521_frodo1344shake,0.66
47,p521_frodo1344shake,0.66
48,p521_frodo1344shake,0.66
49,p521_frodo1344shake,0.66
50,p521_frodo1344shake,0.66
51,p521_frodo1344shake,0.66
52,p521_frodo1344shake,0.66
53,p521_frodo1344shake,0.66
54,p521_frodo1344shake,0.67
55,p521_frodo1344shake,0.66
56,p521_frodo1344shake,0.66
57,p521_frodo1344shake,0.66
58,p521_frodo1344shake,0.66
59,p521_frodo1344shake,0.66
60,p521_frodo1344shake,0.66
61,p521_frodo1344shake,0.66
62,p521_frodo1344shake,0.66
63,p521_frodo1344shake,0.66
64,p521_frodo1344shake,0.66
65,p521_frodo1344shake,0.66
66,p521_frodo1344shake,0.66
67,p521_frodo1344shake,0.66
68,p521_frodo1344shake,0.66
69,p521_frodo1344shake,0.66
70,p521_frodo1344shake,0.66
71,p521_frodo1344shake,0.66
72,p521_frodo1344shake,0.66
73,p521_frodo1344shake,0.66
74,p521_frodo1344shake,0.66
75,p521_frodo1344shake,0.66
76,p521_frodo1344shake,0.66
77,p521_frodo1344shake,0.66
78,p521_frodo1344shake,0.66
79,p521_frodo1344shake,0.66
80,p521_frodo1344shake,0.66
81,p521_frodo1344shake,0.66
82,p521_frodo1344shake,0.66
83,p521_frodo1344shake,0.66
84,p521_frodo1344shake,0.66
85,p521_frodo1344shake,0.66
86,p521_frodo1344shake,0.66
87,p521_frodo1344shake,0.66
88,p521_frodo1344shake,0.66
89,p521_frodo1344shake,0.66
90,p521_frodo1344shake,0.66
91,p521_frodo1344shake,0.66
92,p521_frodo1344shake,0.66
93,p521_frodo1344shake,0.66
94,p521_frodo1344shake,0.66
95,p521_frodo1344shake,0.66
96,p521_frodo1344shake,0.66
97,p521_frodo1344shake,0.66
98,p521_frodo1344shake,0.66
99,p521_frodo1344shake,0.66
100,p521_frodo1344shake,0.66
