Iteration, Algorithm, Time(s)
1,p521_mlkem1024,0.48
2,p521_mlkem1024,0.47
3,p521_mlkem1024,0.48
4,p521_mlkem1024,0.48
5,p521_mlkem1024,0.47
6,p521_mlkem1024,0.47
7,p521_mlkem1024,0.47
8,p521_mlkem1024,0.48
9,p521_mlkem1024,0.47
10,p521_mlkem1024,0.47
11,p521_mlkem1024,0.47
12,p521_mlkem1024,0.47
13,p521_mlkem1024,0.48
14,p521_mlkem1024,0.47
15,p521_mlkem1024,0.47
16,p521_mlkem1024,0.47
17,p521_mlkem1024,0.47
18,p521_mlkem1024,0.47
19,p521_mlkem1024,0.47
20,p521_mlkem1024,0.47
21,p521_mlkem1024,0.47
22,p521_mlkem1024,0.47
23,p521_mlkem1024,0.47
24,p521_mlkem1024,0.47
25,p521_mlkem1024,0.47
26,p521_mlkem1024,0.47
27,p521_mlkem1024,0.47
28,p521_mlkem1024,0.47
29,p521_mlkem1024,0.47
30,p521_mlkem1024,0.47
31,p521_mlkem1024,0.47
32,p521_mlkem1024,0.47
33,p521_mlkem1024,0.47
34,p521_mlkem1024,0.47
35,p521_mlkem1024,0.47
36,p521_mlkem1024,0.47
37,p521_mlkem1024,0.47
38,p521_mlkem1024,0.47
39,p521_mlkem1024,0.47
40,p521_mlkem1024,0.47
41,p521_mlkem1024,0.47
42,p521_mlkem1024,0.47
43,p521_mlkem1024,0.47
44,p521_mlkem1024,0.47
45,p521_mlkem1024,0.48
46,p521_mlkem1024,0.47
47,p521_mlkem1024,0.47
48,p521_mlkem1024,0.47
49,p521_mlkem1024,0.47
50,p521_mlkem1024,0.47
51,p521_mlkem1024,0.47
52,p521_mlkem1024,0.48
53,p521_mlkem1024,0.47
54,p521_mlkem1024,0.48
55,p521_mlkem1024,0.47
56,p521_mlkem1024,0.47
57,p521_mlkem1024,0.47
58,p521_mlkem1024,0.47
59,p521_mlkem1024,0.47
60,p521_mlkem1024,0.47
61,p521_mlkem1024,0.47
62,p521_mlkem1024,0.47
63,p521_mlkem1024,0.47
64,p521_mlkem1024,0.47
65,p521_mlkem1024,0.47
66,p521_mlkem1024,0.47
67,p521_mlkem1024,0.47
68,p521_mlkem1024,0.47
69,p521_mlkem1024,0.47
70,p521_mlkem1024,0.47
71,p521_mlkem1024,0.47
72,p521_mlkem1024,0.47
73,p521_mlkem1024,0.47
74,p521_mlkem1024,0.47
75,p521_mlkem1024,0.47
76,p521_mlkem1024,0.47
77,p521_mlkem1024,0.48
78,p521_mlkem1024,0.47
79,p521_mlkem1024,0.47
80,p521_mlkem1024,0.47
81,p521_mlkem1024,0.48
82,p521_mlkem1024,0.47
83,p521_mlkem1024,0.47
84,p521_mlkem1024,0.47
85,p521_mlkem1024,0.47
86,p521_mlkem1024,0.47
87,p521_mlkem1024,0.47
88,p521_mlkem1024,0.47
89,p521_mlkem1024,0.47
90,p521_mlkem1024,0.47
91,p521_mlkem1024,0.47
92,p521_mlkem1024,0.47
93,p521_mlkem1024,0.47
94,p521_mlkem1024,0.47
95,p521_mlkem1024,0.47
96,p521_mlkem1024,0.47
97,p521_mlkem1024,0.47
98,p521_mlkem1024,0.47
99,p521_mlkem1024,0.47
100,p521_mlkem1024,0.48
