Iteration, Algorithm, Time(s)
1,secp521r1,0.34
2,secp521r1,0.34
3,secp521r1,0.34
4,secp521r1,0.34
5,secp521r1,0.34
6,secp521r1,0.34
7,secp521r1,0.34
8,secp521r1,0.34
9,secp521r1,0.34
10,secp521r1,0.34
11,secp521r1,0.34
12,secp521r1,0.34
13,secp521r1,0.34
14,secp521r1,0.34
15,secp521r1,0.34
16,secp521r1,0.34
17,secp521r1,0.34
18,secp521r1,0.34
19,secp521r1,0.34
20,secp521r1,0.34
21,secp521r1,0.34
22,secp521r1,0.34
23,secp521r1,0.34
24,secp521r1,0.34
25,secp521r1,0.35
26,secp521r1,0.34
27,secp521r1,0.34
28,secp521r1,0.34
29,secp521r1,0.34
30,secp521r1,0.34
31,secp521r1,0.34
32,secp521r1,0.34
33,secp521r1,0.34
34,secp521r1,0.34
35,secp521r1,0.34
36,secp521r1,0.34
37,secp521r1,0.34
38,secp521r1,0.34
39,secp521r1,0.34
40,secp521r1,0.34
41,secp521r1,0.34
42,secp521r1,0.34
43,secp521r1,0.34
44,secp521r1,0.34
45,secp521r1,0.34
46,secp521r1,0.34
47,secp521r1,0.34
48,secp521r1,0.34
49,secp521r1,0.34
50,secp521r1,0.34
51,secp521r1,0.34
52,secp521r1,0.34
53,secp521r1,0.34
54,secp521r1,0.34
55,secp521r1,0.34
56,secp521r1,0.34
57,secp521r1,0.35
58,secp521r1,0.34
59,secp521r1,0.34
60,secp521r1,0.34
61,secp521r1,0.34
62,secp521r1,0.34
63,secp521r1,0.34
64,secp521r1,0.34
65,secp521r1,0.34
66,secp521r1,0.34
67,secp521r1,0.34
68,secp521r1,0.34
69,secp521r1,0.34
70,secp521r1,0.34
71,secp521r1,0.34
72,secp521r1,0.34
73,secp521r1,0.34
74,secp521r1,0.34
75,secp521r1,0.34
76,secp521r1,0.34
77,secp521r1,0.34
78,secp521r1,0.34
79,secp521r1,0.34
80,secp521r1,0.34
81,secp521r1,0.34
82,secp521r1,0.34
83,secp521r1,0.34
84,secp521r1,0.34
85,secp521r1,0.34
86,secp521r1,0.34
87,secp521r1,0.34
88,secp521r1,0.34
89,secp521r1,0.35
90,secp521r1,0.34
91,secp521r1,0.34
92,secp521r1,0.34
93,secp521r1,0.34
94,secp521r1,0.34
95,secp521r1,0.34
96,secp521r1,0.34
97,secp521r1,0.34
98,secp521r1,0.34
99,secp521r1,0.34
100,secp521r1,0.34
