Iteration, Algorithm, Time(s)
1,x448_bikel3,1.31
2,x448_bikel3,1.31
3,x448_bikel3,1.31
4,x448_bikel3,1.32
5,x448_bikel3,1.31
6,x448_bikel3,1.32
7,x448_bikel3,1.31
8,x448_bikel3,1.31
9,x448_bikel3,1.31
10,x448_bikel3,1.31
11,x448_bikel3,1.31
12,x448_bikel3,1.31
13,x448_bikel3,1.31
14,x448_bikel3,1.32
15,x448_bikel3,1.31
16,x448_bikel3,1.31
17,x448_bikel3,1.32
18,x448_bikel3,1.32
19,x448_bikel3,1.31
20,x448_bikel3,1.31
21,x448_bikel3,1.31
22,x448_bikel3,1.31
23,x448_bikel3,1.31
24,x448_bikel3,1.31
25,x448_bikel3,1.31
26,x448_bikel3,1.31
27,x448_bikel3,1.31
28,x448_bikel3,1.31
29,x448_bikel3,1.31
30,x448_bikel3,1.31
31,x448_bikel3,1.31
32,x448_bikel3,1.31
33,x448_bikel3,1.32
34,x448_bikel3,1.31
35,x448_bikel3,1.31
36,x448_bikel3,1.31
37,x448_bikel3,1.31
38,x448_bikel3,1.32
39,x448_bikel3,1.31
40,x448_bikel3,1.31
41,x448_bikel3,1.31
42,x448_bikel3,1.31
43,x448_bikel3,1.31
44,x448_bikel3,1.31
45,x448_bikel3,1.31
46,x448_bikel3,1.31
47,x448_bikel3,1.31
48,x448_bikel3,1.31
49,x448_bikel3,1.31
50,x448_bikel3,1.31
51,x448_bikel3,1.31
52,x448_bikel3,1.32
53,x448_bikel3,1.31
54,x448_bikel3,1.31
55,x448_bikel3,1.31
56,x448_bikel3,1.32
57,x448_bikel3,1.31
58,x448_bikel3,1.31
59,x448_bikel3,1.31
60,x448_bikel3,1.31
61,x448_bikel3,1.31
62,x448_bikel3,1.31
63,x448_bikel3,1.31
64,x448_bikel3,1.31
65,x448_bikel3,1.31
66,x448_bikel3,1.31
67,x448_bikel3,1.31
68,x448_bikel3,1.31
69,x448_bikel3,1.31
70,x448_bikel3,1.32
71,x448_bikel3,1.32
72,x448_bikel3,1.31
73,x448_bikel3,1.31
74,x448_bikel3,1.32
75,x448_bikel3,1.31
76,x448_bikel3,1.31
77,x448_bikel3,1.31
78,x448_bikel3,1.31
79,x448_bikel3,1.32
80,x448_bikel3,1.31
81,x448_bikel3,1.31
82,x448_bikel3,1.31
83,x448_bikel3,1.32
84,x448_bikel3,1.31
85,x448_bikel3,1.31
86,x448_bikel3,1.31
87,x448_bikel3,1.31
88,x448_bikel3,1.31
89,x448_bikel3,1.31
90,x448_bikel3,1.32
91,x448_bikel3,1.31
92,x448_bikel3,1.31
93,x448_bikel3,1.31
94,x448_bikel3,1.31
95,x448_bikel3,1.31
96,x448_bikel3,1.31
97,x448_bikel3,1.31
98,x448_bikel3,1.31
99,x448_bikel3,1.31
100,x448_bikel3,1.31
