Iteration, Algorithm, Time(s)
1,x448_frodo976aes,0.51
2,x448_frodo976aes,0.51
3,x448_frodo976aes,0.51
4,x448_frodo976aes,0.51
5,x448_frodo976aes,0.51
6,x448_frodo976aes,0.51
7,x448_frodo976aes,0.51
8,x448_frodo976aes,0.51
9,x448_frodo976aes,0.51
10,x448_frodo976aes,0.51
11,x448_frodo976aes,0.51
12,x448_frodo976aes,0.51
13,x448_frodo976aes,0.51
14,x448_frodo976aes,0.51
15,x448_frodo976aes,0.51
16,x448_frodo976aes,0.51
17,x448_frodo976aes,0.51
18,x448_frodo976aes,0.51
19,x448_frodo976aes,0.51
20,x448_frodo976aes,0.51
21,x448_frodo976aes,0.51
22,x448_frodo976aes,0.51
23,x448_frodo976aes,0.51
24,x448_frodo976aes,0.51
25,x448_frodo976aes,0.51
26,x448_frodo976aes,0.51
27,x448_frodo976aes,0.51
28,x448_frodo976aes,0.51
29,x448_frodo976aes,0.51
30,x448_frodo976aes,0.51
31,x448_frodo976aes,0.51
32,x448_frodo976aes,0.51
33,x448_frodo976aes,0.51
34,x448_frodo976aes,0.51
35,x448_frodo976aes,0.51
36,x448_frodo976aes,0.51
37,x448_frodo976aes,0.51
38,x448_frodo976aes,0.51
39,x448_frodo976aes,0.51
40,x448_frodo976aes,0.51
41,x448_frodo976aes,0.51
42,x448_frodo976aes,0.51
43,x448_frodo976aes,0.51
44,x448_frodo976aes,0.51
45,x448_frodo976aes,0.51
46,x448_frodo976aes,0.51
47,x448_frodo976aes,0.51
48,x448_frodo976aes,0.51
49,x448_frodo976aes,0.51
50,x448_frodo976aes,0.51
51,x448_frodo976aes,0.51
52,x448_frodo976aes,0.51
53,x448_frodo976aes,0.51
54,x448_frodo976aes,0.51
55,x448_frodo976aes,0.51
56,x448_frodo976aes,0.51
57,x448_frodo976aes,0.51
58,x448_frodo976aes,0.51
59,x448_frodo976aes,0.51
60,x448_frodo976aes,0.51
61,x448_frodo976aes,0.51
62,x448_frodo976aes,0.51
63,x448_frodo976aes,0.51
64,x448_frodo976aes,0.51
65,x448_frodo976aes,0.51
66,x448_frodo976aes,0.51
67,x448_frodo976aes,0.51
68,x448_frodo976aes,0.51
69,x448_frodo976aes,0.51
70,x448_frodo976aes,0.51
71,x448_frodo976aes,0.51
72,x448_frodo976aes,0.51
73,x448_frodo976aes,0.51
74,x448_frodo976aes,0.51
75,x448_frodo976aes,0.51
76,x448_frodo976aes,0.51
77,x448_frodo976aes,0.51
78,x448_frodo976aes,0.51
79,x448_frodo976aes,0.51
80,x448_frodo976aes,0.51
81,x448_frodo976aes,0.51
82,x448_frodo976aes,0.51
83,x448_frodo976aes,0.51
84,x448_frodo976aes,0.51
85,x448_frodo976aes,0.51
86,x448_frodo976aes,0.51
87,x448_frodo976aes,0.51
88,x448_frodo976aes,0.51
89,x448_frodo976aes,0.51
90,x448_frodo976aes,0.51
91,x448_frodo976aes,0.51
92,x448_frodo976aes,0.51
93,x448_frodo976aes,0.51
94,x448_frodo976aes,0.51
95,x448_frodo976aes,0.51
96,x448_frodo976aes,0.51
97,x448_frodo976aes,0.52
98,x448_frodo976aes,0.51
99,x448_frodo976aes,0.51
100,x448_frodo976aes,0.51
