Iteration, Algorithm, Time(s)
1,x448_frodo976shake,0.45
2,x448_frodo976shake,0.45
3,x448_frodo976shake,0.45
4,x448_frodo976shake,0.45
5,x448_frodo976shake,0.45
6,x448_frodo976shake,0.45
7,x448_frodo976shake,0.45
8,x448_frodo976shake,0.45
9,x448_frodo976shake,0.45
10,x448_frodo976shake,0.45
11,x448_frodo976shake,0.45
12,x448_frodo976shake,0.45
13,x448_frodo976shake,0.45
14,x448_frodo976shake,0.45
15,x448_frodo976shake,0.45
16,x448_frodo976shake,0.45
17,x448_frodo976shake,0.45
18,x448_frodo976shake,0.45
19,x448_frodo976shake,0.45
20,x448_frodo976shake,0.45
21,x448_frodo976shake,0.45
22,x448_frodo976shake,0.45
23,x448_frodo976shake,0.45
24,x448_frodo976shake,0.45
25,x448_frodo976shake,0.45
26,x448_frodo976shake,0.45
27,x448_frodo976shake,0.45
28,x448_frodo976shake,0.45
29,x448_frodo976shake,0.45
30,x448_frodo976shake,0.45
31,x448_frodo976shake,0.45
32,x448_frodo976shake,0.45
33,x448_frodo976shake,0.45
34,x448_frodo976shake,0.45
35,x448_frodo976shake,0.45
36,x448_frodo976shake,0.45
37,x448_frodo976shake,0.45
38,x448_frodo976shake,0.45
39,x448_frodo976shake,0.45
40,x448_frodo976shake,0.45
41,x448_frodo976shake,0.45
42,x448_frodo976shake,0.45
43,x448_frodo976shake,0.45
44,x448_frodo976shake,0.45
45,x448_frodo976shake,0.45
46,x448_frodo976shake,0.45
47,x448_frodo976shake,0.45
48,x448_frodo976shake,0.45
49,x448_frodo976shake,0.45
50,x448_frodo976shake,0.45
51,x448_frodo976shake,0.45
52,x448_frodo976shake,0.45
53,x448_frodo976shake,0.45
54,x448_frodo976shake,0.45
55,x448_frodo976shake,0.45
56,x448_frodo976shake,0.45
57,x448_frodo976shake,0.45
58,x448_frodo976shake,0.45
59,x448_frodo976shake,0.45
60,x448_frodo976shake,0.45
61,x448_frodo976shake,0.45
62,x448_frodo976shake,0.45
63,x448_frodo976shake,0.45
64,x448_frodo976shake,0.45
65,x448_frodo976shake,0.45
66,x448_frodo976shake,0.45
67,x448_frodo976shake,0.45
68,x448_frodo976shake,0.45
69,x448_frodo976shake,0.45
70,x448_frodo976shake,0.45
71,x448_frodo976shake,0.45
72,x448_frodo976shake,0.45
73,x448_frodo976shake,0.45
74,x448_frodo976shake,0.45
75,x448_frodo976shake,0.45
76,x448_frodo976shake,0.45
77,x448_frodo976shake,0.45
78,x448_frodo976shake,0.45
79,x448_frodo976shake,0.45
80,x448_frodo976shake,0.45
81,x448_frodo976shake,0.45
82,x448_frodo976shake,0.45
83,x448_frodo976shake,0.45
84,x448_frodo976shake,0.45
85,x448_frodo976shake,0.45
86,x448_frodo976shake,0.45
87,x448_frodo976shake,0.45
88,x448_frodo976shake,0.45
89,x448_frodo976shake,0.45
90,x448_frodo976shake,0.45
91,x448_frodo976shake,0.45
92,x448_frodo976shake,0.45
93,x448_frodo976shake,0.45
94,x448_frodo976shake,0.45
95,x448_frodo976shake,0.45
96,x448_frodo976shake,0.45
97,x448_frodo976shake,0.45
98,x448_frodo976shake,0.45
99,x448_frodo976shake,0.45
100,x448_frodo976shake,0.45
