Iteration, Algorithm, Time(s)
1,x448_mlkem768,0.36
2,x448_mlkem768,0.36
3,x448_mlkem768,0.36
4,x448_mlkem768,0.36
5,x448_mlkem768,0.37
6,x448_mlkem768,0.36
7,x448_mlkem768,0.36
8,x448_mlkem768,0.36
9,x448_mlkem768,0.36
10,x448_mlkem768,0.36
11,x448_mlkem768,0.36
12,x448_mlkem768,0.36
13,x448_mlkem768,0.36
14,x448_mlkem768,0.36
15,x448_mlkem768,0.36
16,x448_mlkem768,0.36
17,x448_mlkem768,0.36
18,x448_mlkem768,0.36
19,x448_mlkem768,0.36
20,x448_mlkem768,0.36
21,x448_mlkem768,0.36
22,x448_mlkem768,0.36
23,x448_mlkem768,0.36
24,x448_mlkem768,0.36
25,x448_mlkem768,0.36
26,x448_mlkem768,0.36
27,x448_mlkem768,0.36
28,x448_mlkem768,0.36
29,x448_mlkem768,0.36
30,x448_mlkem768,0.36
31,x448_mlkem768,0.36
32,x448_mlkem768,0.36
33,x448_mlkem768,0.36
34,x448_mlkem768,0.36
35,x448_mlkem768,0.36
36,x448_mlkem768,0.36
37,x448_mlkem768,0.37
38,x448_mlkem768,0.36
39,x448_mlkem768,0.36
40,x448_mlkem768,0.36
41,x448_mlkem768,0.36
42,x448_mlkem768,0.36
43,x448_mlkem768,0.36
44,x448_mlkem768,0.36
45,x448_mlkem768,0.36
46,x448_mlkem768,0.36
47,x448_mlkem768,0.36
48,x448_mlkem768,0.36
49,x448_mlkem768,0.36
50,x448_mlkem768,0.36
51,x448_mlkem768,0.36
52,x448_mlkem768,0.36
53,x448_mlkem768,0.36
54,x448_mlkem768,0.36
55,x448_mlkem768,0.36
56,x448_mlkem768,0.36
57,x448_mlkem768,0.36
58,x448_mlkem768,0.36
59,x448_mlkem768,0.36
60,x448_mlkem768,0.36
61,x448_mlkem768,0.36
62,x448_mlkem768,0.36
63,x448_mlkem768,0.36
64,x448_mlkem768,0.36
65,x448_mlkem768,0.36
66,x448_mlkem768,0.36
67,x448_mlkem768,0.36
68,x448_mlkem768,0.36
69,x448_mlkem768,0.37
70,x448_mlkem768,0.36
71,x448_mlkem768,0.36
72,x448_mlkem768,0.36
73,x448_mlkem768,0.36
74,x448_mlkem768,0.36
75,x448_mlkem768,0.36
76,x448_mlkem768,0.36
77,x448_mlkem768,0.36
78,x448_mlkem768,0.36
79,x448_mlkem768,0.36
80,x448_mlkem768,0.36
81,x448_mlkem768,0.36
82,x448_mlkem768,0.36
83,x448_mlkem768,0.36
84,x448_mlkem768,0.36
85,x448_mlkem768,0.36
86,x448_mlkem768,0.36
87,x448_mlkem768,0.36
88,x448_mlkem768,0.36
89,x448_mlkem768,0.36
90,x448_mlkem768,0.36
91,x448_mlkem768,0.36
92,x448_mlkem768,0.36
93,x448_mlkem768,0.36
94,x448_mlkem768,0.36
95,x448_mlkem768,0.36
96,x448_mlkem768,0.36
97,x448_mlkem768,0.37
98,x448_mlkem768,0.36
99,x448_mlkem768,0.36
100,x448_mlkem768,0.36
