Iteration, Algorithm, Time(s)
1,MLKEM768,0.02
2,MLKEM768,0.02
3,MLKEM768,0.02
4,MLKEM768,0.02
5,MLKEM768,0.02
6,MLKEM768,0.02
7,MLKEM768,0.02
8,MLKEM768,0.02
9,MLKEM768,0.02
10,MLKEM768,0.02
11,MLKEM768,0.02
12,MLKEM768,0.02
13,MLKEM768,0.02
14,MLKEM768,0.02
15,MLKEM768,0.02
16,MLKEM768,0.02
17,MLKEM768,0.02
18,MLKEM768,0.02
19,MLKEM768,0.02
20,MLKEM768,0.02
21,MLKEM768,0.02
22,MLKEM768,0.02
23,MLKEM768,0.02
24,MLKEM768,0.02
25,MLKEM768,0.02
26,MLKEM768,0.02
27,MLKEM768,0.02
28,MLKEM768,0.02
29,MLKEM768,0.02
30,MLKEM768,0.02
31,MLKEM768,0.02
32,MLKEM768,0.02
33,MLKEM768,0.02
34,MLKEM768,0.02
35,MLKEM768,0.02
36,MLKEM768,0.02
37,MLKEM768,0.02
38,MLKEM768,0.02
39,MLKEM768,0.02
40,MLKEM768,0.02
41,MLKEM768,0.02
42,MLKEM768,0.02
43,MLKEM768,0.02
44,MLKEM768,0.02
45,MLKEM768,0.02
46,MLKEM768,0.02
47,MLKEM768,0.02
48,MLKEM768,0.02
49,MLKEM768,0.02
50,MLKEM768,0.02
51,MLKEM768,0.02
52,MLKEM768,0.02
53,MLKEM768,0.02
54,MLKEM768,0.02
55,MLKEM768,0.02
56,MLKEM768,0.02
57,MLKEM768,0.02
58,MLKEM768,0.02
59,MLKEM768,0.02
60,MLKEM768,0.02
61,MLKEM768,0.02
62,MLKEM768,0.02
63,MLKEM768,0.02
64,MLKEM768,0.02
65,MLKEM768,0.02
66,MLKEM768,0.02
67,MLKEM768,0.02
68,MLKEM768,0.02
69,MLKEM768,0.02
70,MLKEM768,0.02
71,MLKEM768,0.02
72,MLKEM768,0.02
73,MLKEM768,0.02
74,MLKEM768,0.02
75,MLKEM768,0.02
76,MLKEM768,0.02
77,MLKEM768,0.02
78,MLKEM768,0.02
79,MLKEM768,0.02
80,MLKEM768,0.02
81,MLKEM768,0.02
82,MLKEM768,0.02
83,MLKEM768,0.02
84,MLKEM768,0.02
85,MLKEM768,0.02
86,MLKEM768,0.02
87,MLKEM768,0.02
88,MLKEM768,0.02
89,MLKEM768,0.02
90,MLKEM768,0.02
91,MLKEM768,0.02
92,MLKEM768,0.02
93,MLKEM768,0.02
94,MLKEM768,0.02
95,MLKEM768,0.02
96,MLKEM768,0.02
97,MLKEM768,0.02
98,MLKEM768,0.02
99,MLKEM768,0.02
100,MLKEM768,0.02
