Iteration, Algorithm, Time(s)
1,SecP256r1MLKEM768,0.02
2,SecP256r1MLKEM768,0.02
3,SecP256r1MLKEM768,0.02
4,SecP256r1MLKEM768,0.02
5,SecP256r1MLKEM768,0.02
6,SecP256r1MLKEM768,0.02
7,SecP256r1MLKEM768,0.02
8,SecP256r1MLKEM768,0.02
9,SecP256r1MLKEM768,0.02
10,SecP256r1MLKEM768,0.02
11,SecP256r1MLKEM768,0.02
12,SecP256r1MLKEM768,0.02
13,SecP256r1MLKEM768,0.02
14,SecP256r1MLKEM768,0.02
15,SecP256r1MLKEM768,0.02
16,SecP256r1MLKEM768,0.02
17,SecP256r1MLKEM768,0.02
18,SecP256r1MLKEM768,0.02
19,SecP256r1MLKEM768,0.02
20,SecP256r1MLKEM768,0.02
21,SecP256r1MLKEM768,0.02
22,SecP256r1MLKEM768,0.02
23,SecP256r1MLKEM768,0.02
24,SecP256r1MLKEM768,0.02
25,SecP256r1MLKEM768,0.02
26,SecP256r1MLKEM768,0.02
27,SecP256r1MLKEM768,0.02
28,SecP256r1MLKEM768,0.02
29,SecP256r1MLKEM768,0.02
30,SecP256r1MLKEM768,0.02
31,SecP256r1MLKEM768,0.02
32,SecP256r1MLKEM768,0.02
33,SecP256r1MLKEM768,0.02
34,SecP256r1MLKEM768,0.02
35,SecP256r1MLKEM768,0.02
36,SecP256r1MLKEM768,0.02
37,SecP256r1MLKEM768,0.02
38,SecP256r1MLKEM768,0.02
39,SecP256r1MLKEM768,0.02
40,SecP256r1MLKEM768,0.02
41,SecP256r1MLKEM768,0.02
42,SecP256r1MLKEM768,0.02
43,SecP256r1MLKEM768,0.02
44,SecP256r1MLKEM768,0.02
45,SecP256r1MLKEM768,0.02
46,SecP256r1MLKEM768,0.02
47,SecP256r1MLKEM768,0.02
48,SecP256r1MLKEM768,0.02
49,SecP256r1MLKEM768,0.02
50,SecP256r1MLKEM768,0.02
51,SecP256r1MLKEM768,0.02
52,SecP256r1MLKEM768,0.02
53,SecP256r1MLKEM768,0.02
54,SecP256r1MLKEM768,0.02
55,SecP256r1MLKEM768,0.02
56,SecP256r1MLKEM768,0.02
57,SecP256r1MLKEM768,0.02
58,SecP256r1MLKEM768,0.02
59,SecP256r1MLKEM768,0.02
60,SecP256r1MLKEM768,0.02
61,SecP256r1MLKEM768,0.02
62,SecP256r1MLKEM768,0.02
63,SecP256r1MLKEM768,0.02
64,SecP256r1MLKEM768,0.02
65,SecP256r1MLKEM768,0.02
66,SecP256r1MLKEM768,0.02
67,SecP256r1MLKEM768,0.02
68,SecP256r1MLKEM768,0.02
69,SecP256r1MLKEM768,0.02
70,SecP256r1MLKEM768,0.02
71,SecP256r1MLKEM768,0.02
72,SecP256r1MLKEM768,0.02
73,SecP256r1MLKEM768,0.02
74,SecP256r1MLKEM768,0.02
75,SecP256r1MLKEM768,0.02
76,SecP256r1MLKEM768,0.02
77,SecP256r1MLKEM768,0.02
78,SecP256r1MLKEM768,0.02
79,SecP256r1MLKEM768,0.02
80,SecP256r1MLKEM768,0.02
81,SecP256r1MLKEM768,0.02
82,SecP256r1MLKEM768,0.02
83,SecP256r1MLKEM768,0.02
84,SecP256r1MLKEM768,0.02
85,SecP256r1MLKEM768,0.02
86,SecP256r1MLKEM768,0.02
87,SecP256r1MLKEM768,0.02
88,SecP256r1MLKEM768,0.02
89,SecP256r1MLKEM768,0.02
90,SecP256r1MLKEM768,0.02
91,SecP256r1MLKEM768,0.02
92,SecP256r1MLKEM768,0.02
93,SecP256r1MLKEM768,0.02
94,SecP256r1MLKEM768,0.02
95,SecP256r1MLKEM768,0.02
96,SecP256r1MLKEM768,0.02
97,SecP256r1MLKEM768,0.02
98,SecP256r1MLKEM768,0.02
99,SecP256r1MLKEM768,0.02
100,SecP256r1MLKEM768,0.02
