Iteration, Algorithm, Time(s)
1,bikel5,0.02
2,bikel5,0.02
3,bikel5,0.02
4,bikel5,0.02
5,bikel5,0.02
6,bikel5,0.02
7,bikel5,0.02
8,bikel5,0.02
9,bikel5,0.02
10,bikel5,0.02
11,bikel5,0.02
12,bikel5,0.02
13,bikel5,0.02
14,bikel5,0.02
15,bikel5,0.02
16,bikel5,0.02
17,bikel5,0.02
18,bikel5,0.02
19,bikel5,0.02
20,bikel5,0.02
21,bikel5,0.02
22,bikel5,0.02
23,bikel5,0.02
24,bikel5,0.02
25,bikel5,0.02
26,bikel5,0.02
27,bikel5,0.02
28,bikel5,0.02
29,bikel5,0.02
30,bikel5,0.02
31,bikel5,0.02
32,bikel5,0.02
33,bikel5,0.02
34,bikel5,0.02
35,bikel5,0.02
36,bikel5,0.02
37,bikel5,0.02
38,bikel5,0.02
39,bikel5,0.02
40,bikel5,0.02
41,bikel5,0.02
42,bikel5,0.02
43,bikel5,0.02
44,bikel5,0.02
45,bikel5,0.02
46,bikel5,0.02
47,bikel5,0.02
48,bikel5,0.02
49,bikel5,0.02
50,bikel5,0.02
51,bikel5,0.02
52,bikel5,0.02
53,bikel5,0.02
54,bikel5,0.02
55,bikel5,0.02
56,bikel5,0.02
57,bikel5,0.02
58,bikel5,0.02
59,bikel5,0.02
60,bikel5,0.02
61,bikel5,0.02
62,bikel5,0.02
63,bikel5,0.02
64,bikel5,0.02
65,bikel5,0.02
66,bikel5,0.02
67,bikel5,0.02
68,bikel5,0.02
69,bikel5,0.02
70,bikel5,0.02
71,bikel5,0.02
72,bikel5,0.02
73,bikel5,0.02
74,bikel5,0.02
75,bikel5,0.02
76,bikel5,0.02
77,bikel5,0.02
78,bikel5,0.02
79,bikel5,0.02
80,bikel5,0.02
81,bikel5,0.02
82,bikel5,0.02
83,bikel5,0.02
84,bikel5,0.02
85,bikel5,0.02
86,bikel5,0.02
87,bikel5,0.02
88,bikel5,0.02
89,bikel5,0.02
90,bikel5,0.02
91,bikel5,0.02
92,bikel5,0.02
93,bikel5,0.02
94,bikel5,0.02
95,bikel5,0.02
96,bikel5,0.02
97,bikel5,0.02
98,bikel5,0.02
99,bikel5,0.02
100,bikel5,0.02
