Iteration, Algorithm, Time(s)
1,brainpoolP384r1tls13,0.02
2,brainpoolP384r1tls13,0.02
3,brainpoolP384r1tls13,0.02
4,brainpoolP384r1tls13,0.02
5,brainpoolP384r1tls13,0.02
6,brainpoolP384r1tls13,0.02
7,brainpoolP384r1tls13,0.02
8,brainpoolP384r1tls13,0.02
9,brainpoolP384r1tls13,0.02
10,brainpoolP384r1tls13,0.02
11,brainpoolP384r1tls13,0.02
12,brainpoolP384r1tls13,0.02
13,brainpoolP384r1tls13,0.02
14,brainpoolP384r1tls13,0.02
15,brainpoolP384r1tls13,0.02
16,brainpoolP384r1tls13,0.02
17,brainpoolP384r1tls13,0.02
18,brainpoolP384r1tls13,0.02
19,brainpoolP384r1tls13,0.02
20,brainpoolP384r1tls13,0.02
21,brainpoolP384r1tls13,0.02
22,brainpoolP384r1tls13,0.02
23,brainpoolP384r1tls13,0.02
24,brainpoolP384r1tls13,0.02
25,brainpoolP384r1tls13,0.02
26,brainpoolP384r1tls13,0.02
27,brainpoolP384r1tls13,0.02
28,brainpoolP384r1tls13,0.02
29,brainpoolP384r1tls13,0.02
30,brainpoolP384r1tls13,0.02
31,brainpoolP384r1tls13,0.02
32,brainpoolP384r1tls13,0.02
33,brainpoolP384r1tls13,0.02
34,brainpoolP384r1tls13,0.02
35,brainpoolP384r1tls13,0.02
36,brainpoolP384r1tls13,0.02
37,brainpoolP384r1tls13,0.02
38,brainpoolP384r1tls13,0.02
39,brainpoolP384r1tls13,0.02
40,brainpoolP384r1tls13,0.02
41,brainpoolP384r1tls13,0.02
42,brainpoolP384r1tls13,0.02
43,brainpoolP384r1tls13,0.02
44,brainpoolP384r1tls13,0.02
45,brainpoolP384r1tls13,0.02
46,brainpoolP384r1tls13,0.02
47,brainpoolP384r1tls13,0.02
48,brainpoolP384r1tls13,0.02
49,brainpoolP384r1tls13,0.02
50,brainpoolP384r1tls13,0.02
51,brainpoolP384r1tls13,0.02
52,brainpoolP384r1tls13,0.02
53,brainpoolP384r1tls13,0.02
54,brainpoolP384r1tls13,0.02
55,brainpoolP384r1tls13,0.02
56,brainpoolP384r1tls13,0.02
57,brainpoolP384r1tls13,0.02
58,brainpoolP384r1tls13,0.02
59,brainpoolP384r1tls13,0.02
60,brainpoolP384r1tls13,0.02
61,brainpoolP384r1tls13,0.02
62,brainpoolP384r1tls13,0.02
63,brainpoolP384r1tls13,0.02
64,brainpoolP384r1tls13,0.02
65,brainpoolP384r1tls13,0.02
66,brainpoolP384r1tls13,0.02
67,brainpoolP384r1tls13,0.02
68,brainpoolP384r1tls13,0.02
69,brainpoolP384r1tls13,0.02
70,brainpoolP384r1tls13,0.02
71,brainpoolP384r1tls13,0.02
72,brainpoolP384r1tls13,0.02
73,brainpoolP384r1tls13,0.02
74,brainpoolP384r1tls13,0.02
75,brainpoolP384r1tls13,0.02
76,brainpoolP384r1tls13,0.02
77,brainpoolP384r1tls13,0.02
78,brainpoolP384r1tls13,0.02
79,brainpoolP384r1tls13,0.02
80,brainpoolP384r1tls13,0.02
81,brainpoolP384r1tls13,0.02
82,brainpoolP384r1tls13,0.02
83,brainpoolP384r1tls13,0.02
84,brainpoolP384r1tls13,0.02
85,brainpoolP384r1tls13,0.02
86,brainpoolP384r1tls13,0.02
87,brainpoolP384r1tls13,0.02
88,brainpoolP384r1tls13,0.02
89,brainpoolP384r1tls13,0.02
90,brainpoolP384r1tls13,0.02
91,brainpoolP384r1tls13,0.02
92,brainpoolP384r1tls13,0.02
93,brainpoolP384r1tls13,0.02
94,brainpoolP384r1tls13,0.02
95,brainpoolP384r1tls13,0.02
96,brainpoolP384r1tls13,0.02
97,brainpoolP384r1tls13,0.02
98,brainpoolP384r1tls13,0.02
99,brainpoolP384r1tls13,0.02
100,brainpoolP384r1tls13,0.02
