Iteration, Algorithm, Time(s)
1,ffdhe4096,0.02
2,ffdhe4096,0.02
3,ffdhe4096,0.02
4,ffdhe4096,0.02
5,ffdhe4096,0.02
6,ffdhe4096,0.02
7,ffdhe4096,0.02
8,ffdhe4096,0.02
9,ffdhe4096,0.02
10,ffdhe4096,0.02
11,ffdhe4096,0.02
12,ffdhe4096,0.02
13,ffdhe4096,0.02
14,ffdhe4096,0.02
15,ffdhe4096,0.02
16,ffdhe4096,0.02
17,ffdhe4096,0.02
18,ffdhe4096,0.02
19,ffdhe4096,0.02
20,ffdhe4096,0.02
21,ffdhe4096,0.02
22,ffdhe4096,0.02
23,ffdhe4096,0.02
24,ffdhe4096,0.02
25,ffdhe4096,0.02
26,ffdhe4096,0.02
27,ffdhe4096,0.02
28,ffdhe4096,0.02
29,ffdhe4096,0.02
30,ffdhe4096,0.02
31,ffdhe4096,0.02
32,ffdhe4096,0.02
33,ffdhe4096,0.02
34,ffdhe4096,0.02
35,ffdhe4096,0.02
36,ffdhe4096,0.02
37,ffdhe4096,0.02
38,ffdhe4096,0.02
39,ffdhe4096,0.02
40,ffdhe4096,0.02
41,ffdhe4096,0.02
42,ffdhe4096,0.02
43,ffdhe4096,0.02
44,ffdhe4096,0.02
45,ffdhe4096,0.02
46,ffdhe4096,0.02
47,ffdhe4096,0.02
48,ffdhe4096,0.02
49,ffdhe4096,0.02
50,ffdhe4096,0.02
51,ffdhe4096,0.02
52,ffdhe4096,0.02
53,ffdhe4096,0.02
54,ffdhe4096,0.02
55,ffdhe4096,0.02
56,ffdhe4096,0.02
57,ffdhe4096,0.02
58,ffdhe4096,0.02
59,ffdhe4096,0.02
60,ffdhe4096,0.02
61,ffdhe4096,0.02
62,ffdhe4096,0.02
63,ffdhe4096,0.02
64,ffdhe4096,0.02
65,ffdhe4096,0.02
66,ffdhe4096,0.02
67,ffdhe4096,0.02
68,ffdhe4096,0.02
69,ffdhe4096,0.02
70,ffdhe4096,0.02
71,ffdhe4096,0.02
72,ffdhe4096,0.02
73,ffdhe4096,0.02
74,ffdhe4096,0.02
75,ffdhe4096,0.02
76,ffdhe4096,0.02
77,ffdhe4096,0.02
78,ffdhe4096,0.02
79,ffdhe4096,0.02
80,ffdhe4096,0.02
81,ffdhe4096,0.02
82,ffdhe4096,0.02
83,ffdhe4096,0.02
84,ffdhe4096,0.02
85,ffdhe4096,0.02
86,ffdhe4096,0.02
87,ffdhe4096,0.02
88,ffdhe4096,0.02
89,ffdhe4096,0.02
90,ffdhe4096,0.02
91,ffdhe4096,0.02
92,ffdhe4096,0.02
93,ffdhe4096,0.02
94,ffdhe4096,0.02
95,ffdhe4096,0.02
96,ffdhe4096,0.02
97,ffdhe4096,0.02
98,ffdhe4096,0.02
99,ffdhe4096,0.02
100,ffdhe4096,0.02
