Iteration, Algorithm, Time(s)
1,frodo1344aes,0.02
2,frodo1344aes,0.02
3,frodo1344aes,0.02
4,frodo1344aes,0.02
5,frodo1344aes,0.02
6,frodo1344aes,0.02
7,frodo1344aes,0.02
8,frodo1344aes,0.02
9,frodo1344aes,0.02
10,frodo1344aes,0.02
11,frodo1344aes,0.02
12,frodo1344aes,0.02
13,frodo1344aes,0.02
14,frodo1344aes,0.02
15,frodo1344aes,0.02
16,frodo1344aes,0.02
17,frodo1344aes,0.02
18,frodo1344aes,0.02
19,frodo1344aes,0.02
20,frodo1344aes,0.02
21,frodo1344aes,0.02
22,frodo1344aes,0.02
23,frodo1344aes,0.02
24,frodo1344aes,0.02
25,frodo1344aes,0.02
26,frodo1344aes,0.02
27,frodo1344aes,0.02
28,frodo1344aes,0.02
29,frodo1344aes,0.02
30,frodo1344aes,0.02
31,frodo1344aes,0.02
32,frodo1344aes,0.02
33,frodo1344aes,0.02
34,frodo1344aes,0.02
35,frodo1344aes,0.02
36,frodo1344aes,0.02
37,frodo1344aes,0.02
38,frodo1344aes,0.02
39,frodo1344aes,0.02
40,frodo1344aes,0.02
41,frodo1344aes,0.02
42,frodo1344aes,0.02
43,frodo1344aes,0.02
44,frodo1344aes,0.02
45,frodo1344aes,0.02
46,frodo1344aes,0.02
47,frodo1344aes,0.02
48,frodo1344aes,0.02
49,frodo1344aes,0.02
50,frodo1344aes,0.02
51,frodo1344aes,0.02
52,frodo1344aes,0.02
53,frodo1344aes,0.02
54,frodo1344aes,0.02
55,frodo1344aes,0.02
56,frodo1344aes,0.02
57,frodo1344aes,0.02
58,frodo1344aes,0.02
59,frodo1344aes,0.02
60,frodo1344aes,0.02
61,frodo1344aes,0.02
62,frodo1344aes,0.02
63,frodo1344aes,0.02
64,frodo1344aes,0.02
65,frodo1344aes,0.02
66,frodo1344aes,0.02
67,frodo1344aes,0.02
68,frodo1344aes,0.02
69,frodo1344aes,0.02
70,frodo1344aes,0.02
71,frodo1344aes,0.02
72,frodo1344aes,0.02
73,frodo1344aes,0.02
74,frodo1344aes,0.02
75,frodo1344aes,0.02
76,frodo1344aes,0.02
77,frodo1344aes,0.02
78,frodo1344aes,0.02
79,frodo1344aes,0.02
80,frodo1344aes,0.02
81,frodo1344aes,0.02
82,frodo1344aes,0.02
83,frodo1344aes,0.02
84,frodo1344aes,0.02
85,frodo1344aes,0.02
86,frodo1344aes,0.02
87,frodo1344aes,0.02
88,frodo1344aes,0.02
89,frodo1344aes,0.02
90,frodo1344aes,0.02
91,frodo1344aes,0.02
92,frodo1344aes,0.02
93,frodo1344aes,0.02
94,frodo1344aes,0.02
95,frodo1344aes,0.02
96,frodo1344aes,0.02
97,frodo1344aes,0.02
98,frodo1344aes,0.02
99,frodo1344aes,0.02
100,frodo1344aes,0.02
