Iteration, Algorithm, Time(s)
1,p384_bikel3,0.03
2,p384_bikel3,0.03
3,p384_bikel3,0.03
4,p384_bikel3,0.03
5,p384_bikel3,0.03
6,p384_bikel3,0.03
7,p384_bikel3,0.03
8,p384_bikel3,0.03
9,p384_bikel3,0.03
10,p384_bikel3,0.03
11,p384_bikel3,0.03
12,p384_bikel3,0.03
13,p384_bikel3,0.03
14,p384_bikel3,0.03
15,p384_bikel3,0.03
16,p384_bikel3,0.03
17,p384_bikel3,0.03
18,p384_bikel3,0.03
19,p384_bikel3,0.03
20,p384_bikel3,0.03
21,p384_bikel3,0.03
22,p384_bikel3,0.03
23,p384_bikel3,0.03
24,p384_bikel3,0.03
25,p384_bikel3,0.03
26,p384_bikel3,0.03
27,p384_bikel3,0.03
28,p384_bikel3,0.03
29,p384_bikel3,0.03
30,p384_bikel3,0.03
31,p384_bikel3,0.03
32,p384_bikel3,0.03
33,p384_bikel3,0.03
34,p384_bikel3,0.03
35,p384_bikel3,0.03
36,p384_bikel3,0.03
37,p384_bikel3,0.03
38,p384_bikel3,0.03
39,p384_bikel3,0.03
40,p384_bikel3,0.03
41,p384_bikel3,0.03
42,p384_bikel3,0.03
43,p384_bikel3,0.03
44,p384_bikel3,0.03
45,p384_bikel3,0.03
46,p384_bikel3,0.03
47,p384_bikel3,0.03
48,p384_bikel3,0.03
49,p384_bikel3,0.03
50,p384_bikel3,0.03
51,p384_bikel3,0.03
52,p384_bikel3,0.03
53,p384_bikel3,0.03
54,p384_bikel3,0.03
55,p384_bikel3,0.03
56,p384_bikel3,0.03
57,p384_bikel3,0.03
58,p384_bikel3,0.03
59,p384_bikel3,0.03
60,p384_bikel3,0.03
61,p384_bikel3,0.03
62,p384_bikel3,0.03
63,p384_bikel3,0.03
64,p384_bikel3,0.03
65,p384_bikel3,0.03
66,p384_bikel3,0.03
67,p384_bikel3,0.03
68,p384_bikel3,0.03
69,p384_bikel3,0.03
70,p384_bikel3,0.03
71,p384_bikel3,0.03
72,p384_bikel3,0.03
73,p384_bikel3,0.03
74,p384_bikel3,0.03
75,p384_bikel3,0.03
76,p384_bikel3,0.03
77,p384_bikel3,0.03
78,p384_bikel3,0.03
79,p384_bikel3,0.03
80,p384_bikel3,0.03
81,p384_bikel3,0.03
82,p384_bikel3,0.03
83,p384_bikel3,0.03
84,p384_bikel3,0.03
85,p384_bikel3,0.03
86,p384_bikel3,0.03
87,p384_bikel3,0.03
88,p384_bikel3,0.03
89,p384_bikel3,0.03
90,p384_bikel3,0.03
91,p384_bikel3,0.03
92,p384_bikel3,0.03
93,p384_bikel3,0.03
94,p384_bikel3,0.03
95,p384_bikel3,0.03
96,p384_bikel3,0.03
97,p384_bikel3,0.03
98,p384_bikel3,0.03
99,p384_bikel3,0.03
100,p384_bikel3,0.03
