Iteration, Algorithm, Time(s)
1,p521_frodo1344shake,0.04
2,p521_frodo1344shake,0.04
3,p521_frodo1344shake,0.04
4,p521_frodo1344shake,0.04
5,p521_frodo1344shake,0.04
6,p521_frodo1344shake,0.04
7,p521_frodo1344shake,0.04
8,p521_frodo1344shake,0.04
9,p521_frodo1344shake,0.04
10,p521_frodo1344shake,0.04
11,p521_frodo1344shake,0.04
12,p521_frodo1344shake,0.04
13,p521_frodo1344shake,0.04
14,p521_frodo1344shake,0.04
15,p521_frodo1344shake,0.04
16,p521_frodo1344shake,0.04
17,p521_frodo1344shake,0.04
18,p521_frodo1344shake,0.04
19,p521_frodo1344shake,0.04
20,p521_frodo1344shake,0.04
21,p521_frodo1344shake,0.04
22,p521_frodo1344shake,0.04
23,p521_frodo1344shake,0.04
24,p521_frodo1344shake,0.04
25,p521_frodo1344shake,0.04
26,p521_frodo1344shake,0.04
27,p521_frodo1344shake,0.04
28,p521_frodo1344shake,0.04
29,p521_frodo1344shake,0.04
30,p521_frodo1344shake,0.04
31,p521_frodo1344shake,0.04
32,p521_frodo1344shake,0.04
33,p521_frodo1344shake,0.04
34,p521_frodo1344shake,0.04
35,p521_frodo1344shake,0.04
36,p521_frodo1344shake,0.04
37,p521_frodo1344shake,0.04
38,p521_frodo1344shake,0.04
39,p521_frodo1344shake,0.04
40,p521_frodo1344shake,0.04
41,p521_frodo1344shake,0.04
42,p521_frodo1344shake,0.04
43,p521_frodo1344shake,0.04
44,p521_frodo1344shake,0.04
45,p521_frodo1344shake,0.04
46,p521_frodo1344shake,0.04
47,p521_frodo1344shake,0.04
48,p521_frodo1344shake,0.04
49,p521_frodo1344shake,0.04
50,p521_frodo1344shake,0.04
51,p521_frodo1344shake,0.04
52,p521_frodo1344shake,0.04
53,p521_frodo1344shake,0.04
54,p521_frodo1344shake,0.04
55,p521_frodo1344shake,0.04
56,p521_frodo1344shake,0.04
57,p521_frodo1344shake,0.04
58,p521_frodo1344shake,0.04
59,p521_frodo1344shake,0.04
60,p521_frodo1344shake,0.04
61,p521_frodo1344shake,0.04
62,p521_frodo1344shake,0.04
63,p521_frodo1344shake,0.04
64,p521_frodo1344shake,0.04
65,p521_frodo1344shake,0.04
66,p521_frodo1344shake,0.04
67,p521_frodo1344shake,0.04
68,p521_frodo1344shake,0.04
69,p521_frodo1344shake,0.04
70,p521_frodo1344shake,0.04
71,p521_frodo1344shake,0.04
72,p521_frodo1344shake,0.04
73,p521_frodo1344shake,0.04
74,p521_frodo1344shake,0.04
75,p521_frodo1344shake,0.04
76,p521_frodo1344shake,0.04
77,p521_frodo1344shake,0.04
78,p521_frodo1344shake,0.04
79,p521_frodo1344shake,0.04
80,p521_frodo1344shake,0.04
81,p521_frodo1344shake,0.04
82,p521_frodo1344shake,0.04
83,p521_frodo1344shake,0.04
84,p521_frodo1344shake,0.04
85,p521_frodo1344shake,0.04
86,p521_frodo1344shake,0.04
87,p521_frodo1344shake,0.04
88,p521_frodo1344shake,0.04
89,p521_frodo1344shake,0.04
90,p521_frodo1344shake,0.04
91,p521_frodo1344shake,0.04
92,p521_frodo1344shake,0.04
93,p521_frodo1344shake,0.04
94,p521_frodo1344shake,0.04
95,p521_frodo1344shake,0.04
96,p521_frodo1344shake,0.04
97,p521_frodo1344shake,0.04
98,p521_frodo1344shake,0.04
99,p521_frodo1344shake,0.04
100,p521_frodo1344shake,0.04
