Iteration, Algorithm, Time(s)
1,p521_mlkem1024,0.03
2,p521_mlkem1024,0.03
3,p521_mlkem1024,0.03
4,p521_mlkem1024,0.03
5,p521_mlkem1024,0.03
6,p521_mlkem1024,0.03
7,p521_mlkem1024,0.03
8,p521_mlkem1024,0.03
9,p521_mlkem1024,0.03
10,p521_mlkem1024,0.03
11,p521_mlkem1024,0.03
12,p521_mlkem1024,0.03
13,p521_mlkem1024,0.03
14,p521_mlkem1024,0.03
15,p521_mlkem1024,0.03
16,p521_mlkem1024,0.03
17,p521_mlkem1024,0.03
18,p521_mlkem1024,0.03
19,p521_mlkem1024,0.03
20,p521_mlkem1024,0.03
21,p521_mlkem1024,0.03
22,p521_mlkem1024,0.03
23,p521_mlkem1024,0.03
24,p521_mlkem1024,0.03
25,p521_mlkem1024,0.03
26,p521_mlkem1024,0.03
27,p521_mlkem1024,0.03
28,p521_mlkem1024,0.03
29,p521_mlkem1024,0.03
30,p521_mlkem1024,0.03
31,p521_mlkem1024,0.03
32,p521_mlkem1024,0.03
33,p521_mlkem1024,0.03
34,p521_mlkem1024,0.03
35,p521_mlkem1024,0.03
36,p521_mlkem1024,0.03
37,p521_mlkem1024,0.03
38,p521_mlkem1024,0.03
39,p521_mlkem1024,0.03
40,p521_mlkem1024,0.03
41,p521_mlkem1024,0.03
42,p521_mlkem1024,0.03
43,p521_mlkem1024,0.03
44,p521_mlkem1024,0.03
45,p521_mlkem1024,0.03
46,p521_mlkem1024,0.03
47,p521_mlkem1024,0.03
48,p521_mlkem1024,0.03
49,p521_mlkem1024,0.03
50,p521_mlkem1024,0.03
51,p521_mlkem1024,0.03
52,p521_mlkem1024,0.03
53,p521_mlkem1024,0.03
54,p521_mlkem1024,0.03
55,p521_mlkem1024,0.03
56,p521_mlkem1024,0.03
57,p521_mlkem1024,0.03
58,p521_mlkem1024,0.03
59,p521_mlkem1024,0.03
60,p521_mlkem1024,0.03
61,p521_mlkem1024,0.03
62,p521_mlkem1024,0.03
63,p521_mlkem1024,0.03
64,p521_mlkem1024,0.03
65,p521_mlkem1024,0.03
66,p521_mlkem1024,0.03
67,p521_mlkem1024,0.03
68,p521_mlkem1024,0.03
69,p521_mlkem1024,0.03
70,p521_mlkem1024,0.03
71,p521_mlkem1024,0.03
72,p521_mlkem1024,0.03
73,p521_mlkem1024,0.03
74,p521_mlkem1024,0.03
75,p521_mlkem1024,0.03
76,p521_mlkem1024,0.03
77,p521_mlkem1024,0.03
78,p521_mlkem1024,0.03
79,p521_mlkem1024,0.03
80,p521_mlkem1024,0.03
81,p521_mlkem1024,0.03
82,p521_mlkem1024,0.03
83,p521_mlkem1024,0.03
84,p521_mlkem1024,0.03
85,p521_mlkem1024,0.03
86,p521_mlkem1024,0.03
87,p521_mlkem1024,0.03
88,p521_mlkem1024,0.03
89,p521_mlkem1024,0.03
90,p521_mlkem1024,0.03
91,p521_mlkem1024,0.03
92,p521_mlkem1024,0.03
93,p521_mlkem1024,0.03
94,p521_mlkem1024,0.03
95,p521_mlkem1024,0.03
96,p521_mlkem1024,0.03
97,p521_mlkem1024,0.03
98,p521_mlkem1024,0.03
99,p521_mlkem1024,0.03
100,p521_mlkem1024,0.03
