Iteration, Algorithm, Time(s)
1,secp256r1,0.02
2,secp256r1,0.02
3,secp256r1,0.02
4,secp256r1,0.02
5,secp256r1,0.02
6,secp256r1,0.02
7,secp256r1,0.02
8,secp256r1,0.02
9,secp256r1,0.02
10,secp256r1,0.02
11,secp256r1,0.02
12,secp256r1,0.02
13,secp256r1,0.02
14,secp256r1,0.02
15,secp256r1,0.02
16,secp256r1,0.02
17,secp256r1,0.02
18,secp256r1,0.02
19,secp256r1,0.02
20,secp256r1,0.02
21,secp256r1,0.02
22,secp256r1,0.02
23,secp256r1,0.02
24,secp256r1,0.02
25,secp256r1,0.02
26,secp256r1,0.02
27,secp256r1,0.02
28,secp256r1,0.02
29,secp256r1,0.02
30,secp256r1,0.02
31,secp256r1,0.02
32,secp256r1,0.02
33,secp256r1,0.02
34,secp256r1,0.02
35,secp256r1,0.02
36,secp256r1,0.02
37,secp256r1,0.02
38,secp256r1,0.02
39,secp256r1,0.02
40,secp256r1,0.02
41,secp256r1,0.02
42,secp256r1,0.02
43,secp256r1,0.02
44,secp256r1,0.02
45,secp256r1,0.02
46,secp256r1,0.02
47,secp256r1,0.02
48,secp256r1,0.02
49,secp256r1,0.02
50,secp256r1,0.02
51,secp256r1,0.02
52,secp256r1,0.02
53,secp256r1,0.02
54,secp256r1,0.02
55,secp256r1,0.02
56,secp256r1,0.02
57,secp256r1,0.02
58,secp256r1,0.02
59,secp256r1,0.02
60,secp256r1,0.02
61,secp256r1,0.02
62,secp256r1,0.02
63,secp256r1,0.02
64,secp256r1,0.02
65,secp256r1,0.02
66,secp256r1,0.02
67,secp256r1,0.02
68,secp256r1,0.02
69,secp256r1,0.02
70,secp256r1,0.02
71,secp256r1,0.02
72,secp256r1,0.02
73,secp256r1,0.02
74,secp256r1,0.02
75,secp256r1,0.02
76,secp256r1,0.02
77,secp256r1,0.02
78,secp256r1,0.02
79,secp256r1,0.02
80,secp256r1,0.02
81,secp256r1,0.02
82,secp256r1,0.02
83,secp256r1,0.02
84,secp256r1,0.02
85,secp256r1,0.02
86,secp256r1,0.02
87,secp256r1,0.02
88,secp256r1,0.02
89,secp256r1,0.02
90,secp256r1,0.02
91,secp256r1,0.02
92,secp256r1,0.02
93,secp256r1,0.02
94,secp256r1,0.02
95,secp256r1,0.02
96,secp256r1,0.02
97,secp256r1,0.02
98,secp256r1,0.02
99,secp256r1,0.02
100,secp256r1,0.02
