Iteration, Algorithm, Time(s)
1,x448,0.02
2,x448,0.02
3,x448,0.02
4,x448,0.02
5,x448,0.02
6,x448,0.02
7,x448,0.02
8,x448,0.02
9,x448,0.02
10,x448,0.02
11,x448,0.02
12,x448,0.02
13,x448,0.02
14,x448,0.02
15,x448,0.02
16,x448,0.02
17,x448,0.02
18,x448,0.02
19,x448,0.02
20,x448,0.02
21,x448,0.02
22,x448,0.02
23,x448,0.02
24,x448,0.02
25,x448,0.02
26,x448,0.02
27,x448,0.02
28,x448,0.02
29,x448,0.02
30,x448,0.02
31,x448,0.02
32,x448,0.02
33,x448,0.02
34,x448,0.02
35,x448,0.02
36,x448,0.02
37,x448,0.02
38,x448,0.02
39,x448,0.02
40,x448,0.02
41,x448,0.02
42,x448,0.02
43,x448,0.02
44,x448,0.02
45,x448,0.02
46,x448,0.02
47,x448,0.02
48,x448,0.02
49,x448,0.02
50,x448,0.02
51,x448,0.02
52,x448,0.02
53,x448,0.02
54,x448,0.02
55,x448,0.02
56,x448,0.02
57,x448,0.02
58,x448,0.02
59,x448,0.02
60,x448,0.02
61,x448,0.02
62,x448,0.02
63,x448,0.02
64,x448,0.02
65,x448,0.02
66,x448,0.02
67,x448,0.02
68,x448,0.02
69,x448,0.02
70,x448,0.02
71,x448,0.02
72,x448,0.02
73,x448,0.02
74,x448,0.02
75,x448,0.02
76,x448,0.02
77,x448,0.02
78,x448,0.02
79,x448,0.02
80,x448,0.02
81,x448,0.02
82,x448,0.02
83,x448,0.02
84,x448,0.02
85,x448,0.02
86,x448,0.02
87,x448,0.02
88,x448,0.02
89,x448,0.02
90,x448,0.02
91,x448,0.02
92,x448,0.02
93,x448,0.02
94,x448,0.02
95,x448,0.02
96,x448,0.02
97,x448,0.02
98,x448,0.02
99,x448,0.02
100,x448,0.02
