Iteration, Algorithm, Time(s)
1,x448_frodo976shake,0.03
2,x448_frodo976shake,0.02
3,x448_frodo976shake,0.03
4,x448_frodo976shake,0.03
5,x448_frodo976shake,0.02
6,x448_frodo976shake,0.02
7,x448_frodo976shake,0.02
8,x448_frodo976shake,0.02
9,x448_frodo976shake,0.02
10,x448_frodo976shake,0.02
11,x448_frodo976shake,0.02
12,x448_frodo976shake,0.03
13,x448_frodo976shake,0.02
14,x448_frodo976shake,0.02
15,x448_frodo976shake,0.03
16,x448_frodo976shake,0.03
17,x448_frodo976shake,0.03
18,x448_frodo976shake,0.02
19,x448_frodo976shake,0.02
20,x448_frodo976shake,0.02
21,x448_frodo976shake,0.03
22,x448_frodo976shake,0.03
23,x448_frodo976shake,0.03
24,x448_frodo976shake,0.02
25,x448_frodo976shake,0.03
26,x448_frodo976shake,0.03
27,x448_frodo976shake,0.02
28,x448_frodo976shake,0.03
29,x448_frodo976shake,0.02
30,x448_frodo976shake,0.03
31,x448_frodo976shake,0.03
32,x448_frodo976shake,0.03
33,x448_frodo976shake,0.03
34,x448_frodo976shake,0.03
35,x448_frodo976shake,0.03
36,x448_frodo976shake,0.03
37,x448_frodo976shake,0.02
38,x448_frodo976shake,0.02
39,x448_frodo976shake,0.02
40,x448_frodo976shake,0.02
41,x448_frodo976shake,0.02
42,x448_frodo976shake,0.03
43,x448_frodo976shake,0.02
44,x448_frodo976shake,0.02
45,x448_frodo976shake,0.03
46,x448_frodo976shake,0.02
47,x448_frodo976shake,0.03
48,x448_frodo976shake,0.02
49,x448_frodo976shake,0.02
50,x448_frodo976shake,0.03
51,x448_frodo976shake,0.02
52,x448_frodo976shake,0.03
53,x448_frodo976shake,0.02
54,x448_frodo976shake,0.03
55,x448_frodo976shake,0.03
56,x448_frodo976shake,0.03
57,x448_frodo976shake,0.03
58,x448_frodo976shake,0.03
59,x448_frodo976shake,0.03
60,x448_frodo976shake,0.03
61,x448_frodo976shake,0.03
62,x448_frodo976shake,0.03
63,x448_frodo976shake,0.03
64,x448_frodo976shake,0.03
65,x448_frodo976shake,0.02
66,x448_frodo976shake,0.02
67,x448_frodo976shake,0.03
68,x448_frodo976shake,0.02
69,x448_frodo976shake,0.02
70,x448_frodo976shake,0.03
71,x448_frodo976shake,0.03
72,x448_frodo976shake,0.03
73,x448_frodo976shake,0.03
74,x448_frodo976shake,0.02
75,x448_frodo976shake,0.02
76,x448_frodo976shake,0.02
77,x448_frodo976shake,0.02
78,x448_frodo976shake,0.03
79,x448_frodo976shake,0.03
80,x448_frodo976shake,0.03
81,x448_frodo976shake,0.03
82,x448_frodo976shake,0.02
83,x448_frodo976shake,0.03
84,x448_frodo976shake,0.02
85,x448_frodo976shake,0.02
86,x448_frodo976shake,0.03
87,x448_frodo976shake,0.03
88,x448_frodo976shake,0.03
89,x448_frodo976shake,0.03
90,x448_frodo976shake,0.02
91,x448_frodo976shake,0.03
92,x448_frodo976shake,0.02
93,x448_frodo976shake,0.03
94,x448_frodo976shake,0.02
95,x448_frodo976shake,0.03
96,x448_frodo976shake,0.02
97,x448_frodo976shake,0.03
98,x448_frodo976shake,0.02
99,x448_frodo976shake,0.03
100,x448_frodo976shake,0.02
